YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
20,88,1.19318181818182,1.46104949325291,1.4390243902439,0.978723404255319,0.0917832167832168,1.46104949325291,1,1
21,85,1.05882352941176,1.23782587028793,0.886363636363636,1.24390243902439,0.081447963800905,1.23782587028793,1,1
22,92,1.28260869565217,1.29518200135226,1.21428571428571,1.34,0.0986622073578595,1.29518200135226,1,1
23,72,1.48611111111111,1.67830443909838,1.54761904761905,1.4,0.114316239316239,1.67830443909838,1,1
24,87,1.27586206896552,1.61885442680076,1.16279069767442,1.38636363636364,0.0981432360742706,1.61885442680076,1,1
25,95,1.55789473684211,1.69301311071625,1.36538461538462,1.7906976744186,0.119838056680162,1.69301311071625,1,1
26,90,1.46666666666667,1.68402941072292,1.26086956521739,1.68181818181818,0.112820512820513,1.68402941072292,1,1
27,89,1.30337078651685,1.61951517985267,1.30612244897959,1.3,0.100259291270527,1.61951517985267,1,1
28,88,1.32954545454545,1.47563811179794,1.39130434782609,1.26190476190476,0.102272727272727,1.47563811179794,1,1
29,89,1.30337078651685,1.49548178905983,1.07692307692308,1.48,0.100259291270527,1.49548178905983,1,1
30,86,1.30232558139535,1.54211289311211,1.25531914893617,1.35897435897436,0.100178890876565,1.54211289311211,1,1
31,80,1.4125,1.66645040791057,1.58139534883721,1.21621621621622,0.108653846153846,1.66645040791057,1,1
32,94,1.4468085106383,1.61722596207206,1.17021276595745,1.72340425531915,0.111292962356792,1.61722596207206,1,1
33,93,1.16129032258065,1.43170863702025,1.23076923076923,1.11111111111111,0.0893300248138958,1.43170863702025,1,1
34,102,1.27450980392157,1.41531134135647,1.41935483870968,1.05,0.0980392156862745,1.41531134135647,1,1
35,81,1.19753086419753,1.56060687783967,1.07692307692308,1.30952380952381,0.0921177587844254,1.56060687783967,1,1
36,93,1.48387096774194,1.98150636169319,1.23076923076923,1.66666666666667,0.114143920595534,1.98150636169319,1,1
37,86,1.2906976744186,1.55575802647317,1.30769230769231,1.27659574468085,0.0992844364937388,1.55575802647317,1,1
38,92,1.47826086956522,1.80644913591548,1.38297872340426,1.57777777777778,0.11371237458194,1.80644913591548,1,1
39,93,1.44086021505376,1.91369416024176,1.14285714285714,1.68627450980392,0.110835401157982,1.91369416024176,1,1
40,89,1.47191011235955,1.5082341242813,1.42,1.53846153846154,0.113223854796889,1.5082341242813,1,1
41,95,1.52631578947368,1.56315355872425,1.66666666666667,1.38297872340426,0.117408906882591,1.56315355872425,1,1
42,87,1.05747126436782,1.21383805899592,1,1.11363636363636,0.0813439434129089,1.21383805899592,1,1
43,97,1.36082474226804,1.56248711334892,1.45762711864407,1.21052631578947,0.104678826328311,1.56248711334892,1,1
44,83,1.3855421686747,1.33280673311409,1.56410256410256,1.22727272727273,0.106580166821131,1.33280673311409,1,1
45,86,1.5,1.61427455934273,1.32075471698113,1.78787878787879,0.115384615384615,1.61427455934273,1,1
46,88,1.42045454545455,1.54415167283358,1.45,1.39583333333333,0.109265734265734,1.54415167283358,1,1
47,96,1.29166666666667,1.46479146471015,1.25,1.33333333333333,0.0993589743589744,1.46479146471015,1,1
48,93,1.45161290322581,1.57780894468204,1.44186046511628,1.46,0.11166253101737,1.57780894468204,1,1
49,91,1.08791208791209,1.4655173652131,1.25,0.906976744186046,0.0836855452240068,1.4655173652131,1,1
50,83,1.04819277108434,1.28692879308985,1,1.09090909090909,0.0806302131603336,1.28692879308985,1,1
51,89,1.39325842696629,1.613986999554,1.37777777777778,1.40909090909091,0.107173725151253,1.613986999554,1,1
52,83,1.37349397590361,1.44585904394698,1.64444444444444,1.05263157894737,0.105653382761817,1.44585904394698,1,1
53,93,1.21505376344086,1.74984137396354,1.20408163265306,1.22727272727273,0.0934656741108354,1.74984137396354,1,1
54,91,1.49450549450549,1.50830019391681,1.55813953488372,1.4375,0.114961961115807,1.50830019391681,1,1
55,97,1.05154639175258,1.45323729150802,1.20454545454545,0.924528301886792,0.0808881839809675,1.45323729150802,1,1
56,91,1.7032967032967,1.87672590489398,1.51219512195122,1.86,0.131022823330516,1.87672590489398,1,1
57,80,0.9875,1.3732871955709,0.951219512195122,1.02564102564103,0.0759615384615385,1.3732871955709,1,1
58,84,1.28571428571429,1.45263722427027,1.58333333333333,1.0625,0.0989010989010989,1.45263722427027,1,1
59,97,1.41237113402062,1.44879675161543,1.4,1.42307692307692,0.108643933386201,1.44879675161543,1,1
60,81,1.46913580246914,1.68141621671351,1.34375,1.55102040816327,0.11301044634378,1.68141621671351,1,1
