Inbreeding_Coefficient,MeanLRS_Column3
-0.000659092,1.047619048
-0.001038088,1.681818182
-0.001256032,0.84
-0.001466172,1.05
-0.000720981,1.5
-0.000171097,1.409090909
0.000404223,1.347826087
-0.000232735,1.125
-0.000687667,1.55
-0.001390113,1.176470588
-0.00120231,1.142857143
-0.000212703,1.473684211
0.000232922,1.476190476
-0.000435679,0.869565217
-0.00065232,1
-8.85E-06,1.25
-0.000708247,1.333333333
-0.000269179,1.0625
-1.32E-05,1.210526316
-0.000203807,1.315789474
-0.000406336,1.55
-0.000811924,0.761904762
-0.000787844,2
-0.001255823,1.736842105
-0.000462312,2.142857143
6.56E-05,2.2
-0.000110117,1.615384615
-0.000998308,1.742857143
-0.00040458,2.088888889
-0.000307312,1.619047619
-0.000174276,1.765957447
-0.00021544,1.639175258
0.00011195,1.744
0.000150926,1.395833333
-0.000471727,1.534722222
-0.001790967,1.174698795
-0.000736151,1.240223464
-0.001482715,1.168539326
-5.39E-05,1.259259259
-0.000521036,1.2
-0.000367862,1.158730159
7.78E-05,1.281437126
-0.000400767,1.303370787
-0.000621759,1.258241758
-0.002330383,1.24
-0.001342681,1.303191489
-0.001290096,1.324022346
-0.00135792,1.327868852
-0.000877881,1.409090909
-0.000575424,1.323383085
0.000252241,1.187845304
0.000172008,1.11827957
-0.000533611,1.116129032
-0.000828006,1.302702703
-0.000599817,1.358695652
-0.000659102,1.263736264
7.59E-06,1.271276596
-0.000662971,1.233918129
-0.001619249,1.137931034
-0.000597912,1.09947644
4.60E-05,1.168478261
0.000758976,1.17816092
-0.000299832,1.35
0.000231259,1.231213873
-0.000407084,1.161849711
-0.000998226,1.264044944
0.000396439,1.248618785
0.000543592,1.365168539
0.000192582,1.373684211
-0.00012412,1.279569892
-0.000974007,1.241758242
8.15E-05,1.331521739
7.63E-05,1.518518519
-7.29E-05,1.54040404
-0.00078765,1.179487179
-0.000831077,1.383333333
0.000569659,1.206896552
-0.000118139,1.25
0.001546807,1.214285714
0.000405104,1.114130435
-0.000379896,1.256097561
-0.000595412,1.215789474
-0.000136537,1.157303371
0.000269155,1.216374269
-0.000124955,1.291428571
0.001013959,1.171270718
-0.000509339,1.257894737
-0.00076631,1.23655914
-0.000861605,1.318435754
-0.000559837,1.121693122
-0.000341422,1.296703297
-0.001275316,1.205555556
-0.001182237,1.165775401
-0.001764789,1.278688525
-0.001957896,1.269230769
-0.00104196,1.362573099
0.000132684,1.464864865
0.000545426,1.474226804
0.00029978,1.681818182
-0.000822091,1.339901478
-0.000323393,1.109947644
2.04E-05,1.318918919
-4.86E-05,1.173913043
-0.000227863,1.129213483
