year,popsize,propmig,He,Ho,meanRRS,nadults,k,nSNP,nMicro,maxage,broodsize,maturity,years,r0,ratemort,V17
20,115,0.121739130434783,0.481069943289225,0.447826086956522,NA,106,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
21,114,0.131578947368421,0.480936441982148,0.441228070175439,NA,104,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
22,108,0.12037037037037,0.478768004115226,0.441666666666667,NA,99,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
23,99,0.0909090909090909,0.477757371696766,0.44040404040404,NA,90,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
24,96,0.104166666666667,0.472108289930556,0.411458333333333,NA,88,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
25,98,0.153061224489796,0.473058100791337,0.41530612244898,NA,90,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
26,94,0.159574468085106,0.471321865097329,0.423404255319149,NA,86,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
27,88,0.147727272727273,0.472895144628099,0.429545454545455,NA,82,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
28,89,0.179775280898876,0.479194546143164,0.433707865168539,NA,82,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
29,87,0.172413793103448,0.481714889681596,0.441379310344828,NA,79,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
30,80,0.15,0.4803046875,0.43875,NA,74,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
31,77,0.155844155844156,0.483083150615618,0.449350649350649,NA,70,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
32,74,0.148648648648649,0.471466398831264,0.45,NA,67,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
33,74,0.162162162162162,0.464810080350621,0.435135135135135,NA,66,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
34,73,0.178082191780822,0.453659223118784,0.395890410958904,NA,67,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
35,69,0.159420289855072,0.440842260029406,0.37536231884058,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
36,70,0.157142857142857,0.439938775510204,0.368571428571429,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
37,70,0.171428571428571,0.424102040816327,0.36,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
38,68,0.191176470588235,0.420501730103806,0.358823529411765,NA,62,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
39,68,0.205882352941176,0.407504325259516,0.338235294117647,NA,62,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
40,63,0.19047619047619,0.391546989166037,0.331746031746032,NA,60,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
41,57,0.140350877192982,0.371037242228378,0.305263157894737,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
42,53,0.132075471698113,0.364204343182627,0.315094339622641,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
43,53,0.150943396226415,0.383837664649341,0.339622641509434,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
44,57,0.210526315789474,0.404093567251462,0.350877192982456,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
45,58,0.241379310344828,0.412708085612366,0.356896551724138,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
46,60,0.266666666666667,0.424236111111111,0.365,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
47,62,0.290322580645161,0.421292924037461,0.346774193548387,NA,57,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
48,64,0.3125,0.44478759765625,0.3671875,NA,59,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
49,69,0.333333333333333,0.451344255408528,0.360869565217391,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
50,67,0.283582089552239,0.457952773446202,0.383582089552239,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
51,62,0.209677419354839,0.458558792924037,0.4,NA,57,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
52,60,0.2,0.466763888888889,0.398333333333333,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
53,59,0.220338983050847,0.472522263717323,0.432203389830508,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
54,59,0.23728813559322,0.48292157426027,0.432203389830508,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
55,56,0.214285714285714,0.481473214285714,0.432142857142857,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
56,57,0.228070175438596,0.484810710987996,0.436842105263158,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
57,58,0.224137931034483,0.483145065398335,0.43448275862069,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
58,61,0.245901639344262,0.479306638000538,0.452459016393443,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
59,57,0.210526315789474,0.478593413357956,0.457894736842105,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
60,59,0.23728813559322,0.486526860097673,0.457627118644068,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
61,61,0.213114754098361,0.490970169309325,0.459016393442623,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
62,61,0.163934426229508,0.49269013705993,0.475409836065574,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
63,62,0.17741935483871,0.491844432882414,0.475806451612903,NA,57,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
64,64,0.203125,0.4873779296875,0.48125,NA,57,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
65,69,0.260869565217391,0.488846880907372,0.469565217391304,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
66,66,0.242424242424242,0.484102387511478,0.471212121212121,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
67,69,0.246376811594203,0.484898130644823,0.47536231884058,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
68,68,0.220588235294118,0.484904844290657,0.473529411764706,NA,62,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
69,70,0.228571428571429,0.485948979591837,0.475714285714286,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
70,70,0.242857142857143,0.487581632653061,0.484285714285714,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
71,69,0.231884057971014,0.480760344465448,0.434782608695652,NA,62,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
72,70,0.257142857142857,0.479040816326531,0.445714285714286,NA,66,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
73,71,0.23943661971831,0.478228526086094,0.429577464788732,NA,62,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
74,67,0.194029850746269,0.476108264646915,0.443283582089552,NA,62,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
75,69,0.217391304347826,0.474816215080865,0.440579710144928,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
76,66,0.242424242424242,0.471843434343434,0.416666666666667,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
77,64,0.234375,0.461328125,0.409375,NA,58,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
78,64,0.25,0.45546875,0.396875,NA,59,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
79,59,0.220338983050847,0.441798333812123,0.383050847457627,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
80,57,0.245614035087719,0.458187134502924,0.401754385964912,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
81,62,0.274193548387097,0.465881893860562,0.395161290322581,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
82,55,0.254545454545455,0.47596694214876,0.4,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
83,53,0.245283018867925,0.473015307938768,0.415094339622642,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
84,55,0.254545454545455,0.473851239669421,0.414545454545455,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
85,55,0.236363636363636,0.47398347107438,0.425454545454545,NA,50,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
86,54,0.222222222222222,0.480504115226337,0.446296296296296,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
87,55,0.254545454545455,0.486330578512397,0.445454545454545,NA,50,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
88,58,0.258620689655172,0.484646254458977,0.453448275862069,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
89,58,0.258620689655172,0.482223543400713,0.448275862068966,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
90,59,0.288135593220339,0.476127549554726,0.423728813559322,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
91,64,0.28125,0.47388916015625,0.4171875,NA,56,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
92,66,0.303030303030303,0.475436179981635,0.424242424242424,NA,61,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
93,60,0.266666666666667,0.465930555555556,0.418333333333333,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
94,59,0.254237288135593,0.454596380350474,0.398305084745763,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
95,60,0.25,0.443944444444444,0.38,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
96,60,0.233333333333333,0.427069444444444,0.365,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
97,59,0.271186440677966,0.42358517667337,0.366101694915254,NA,56,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
98,58,0.241379310344828,0.407491082045184,0.355172413793103,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
99,61,0.262295081967213,0.405683955925826,0.355737704918033,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
100,60,0.283333333333333,0.421055555555556,0.366666666666667,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
