year,popsize,propmig,He,Ho,meanRRS,nadults,k,nSNP,nMicro,maxage,broodsize,maturity,years,r0,ratemort,V17
44,58,0.241379310344828,0.333234244946492,0.282758620689655,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
45,55,0.218181818181818,0.329239669421488,0.263636363636364,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
46,58,0.241379310344828,0.334988109393579,0.251724137931034,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
47,56,0.196428571428571,0.331393494897959,0.269642857142857,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
48,56,0.178571428571429,0.325589923469388,0.269642857142857,NA,50,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
49,54,0.148148148148148,0.337774348422497,0.27962962962963,NA,50,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
50,59,0.203389830508475,0.347400172364263,0.271186440677966,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
51,60,0.233333333333333,0.347319444444444,0.285,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
52,58,0.206896551724138,0.339045778834721,0.270689655172414,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
53,60,0.216666666666667,0.330875,0.258333333333333,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
54,59,0.220338983050847,0.326027003734559,0.264406779661017,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
55,58,0.224137931034483,0.32840368608799,0.281034482758621,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
56,56,0.178571428571429,0.290672831632653,0.2625,NA,50,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
57,56,0.196428571428571,0.308896683673469,0.278571428571429,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
58,58,0.206896551724138,0.308873365041617,0.270689655172414,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
59,59,0.23728813559322,0.322306808388394,0.266101694915254,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
60,62,0.274193548387097,0.334547346514048,0.267741935483871,NA,58,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
61,61,0.262295081967213,0.337825853265251,0.273770491803279,NA,56,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
62,62,0.274193548387097,0.350208116545265,0.270967741935484,NA,56,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
63,60,0.25,0.348569444444444,0.275,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
64,58,0.241379310344828,0.35077288941736,0.272413793103448,NA,54,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
65,53,0.169811320754717,0.317159131363475,0.260377358490566,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
66,56,0.232142857142857,0.33625637755102,0.267857142857143,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
67,53,0.207547169811321,0.355482378070488,0.281132075471698,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
68,55,0.2,0.358082644628099,0.298181818181818,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
69,59,0.203389830508475,0.378713013501867,0.325423728813559,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
70,60,0.216666666666667,0.374958333333333,0.311666666666667,NA,55,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
71,55,0.181818181818182,0.372462809917355,0.330909090909091,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
72,52,0.153846153846154,0.359985207100592,0.319230769230769,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
73,53,0.132075471698113,0.360857956568174,0.341509433962264,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
74,51,0.117647058823529,0.362629757785467,0.349019607843137,NA,46,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
75,51,0.137254901960784,0.38202614379085,0.366666666666667,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
76,54,0.148148148148148,0.380195473251029,0.353703703703704,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
77,49,0.102040816326531,0.373594335693461,0.346938775510204,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
78,45,0.111111111111111,0.357111111111111,0.331111111111111,NA,42,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
79,46,0.173913043478261,0.399480151228733,0.365217391304348,NA,43,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
80,51,0.235294117647059,0.409419454056132,0.356862745098039,NA,46,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
81,56,0.285714285714286,0.424665178571429,0.3625,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
82,54,0.277777777777778,0.430041152263374,0.362962962962963,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
83,54,0.277777777777778,0.446450617283951,0.398148148148148,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
84,55,0.272727272727273,0.443851239669421,0.398181818181818,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
85,51,0.274509803921569,0.456728181468666,0.405882352941176,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
86,49,0.224489795918367,0.447584339858392,0.426530612244898,NA,44,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
87,49,0.224489795918367,0.448979591836735,0.453061224489796,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
88,50,0.22,0.44704,0.432,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
89,51,0.235294117647059,0.459265667051134,0.46078431372549,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
90,50,0.22,0.4668,0.452,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
91,51,0.235294117647059,0.476989619377163,0.452941176470588,NA,46,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
92,48,0.208333333333333,0.475564236111111,0.433333333333333,NA,44,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
93,50,0.26,0.4823,0.446,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
94,53,0.283018867924528,0.479334282662869,0.428301886792453,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
95,53,0.30188679245283,0.480402278390886,0.439622641509434,NA,49,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
96,51,0.274509803921569,0.47722029988466,0.433333333333333,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
97,52,0.307692307692308,0.482433431952663,0.434615384615385,NA,46,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
98,47,0.25531914893617,0.476392032593934,0.419148936170213,NA,43,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
99,46,0.304347826086957,0.478497164461248,0.430434782608696,NA,43,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
100,44,0.295454545454545,0.477582644628099,0.422727272727273,NA,40,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
1,951,0.00210304942166141,0.389049271285635,0.240694006309148,NA,583,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
2,909,0.0055005500550055,0.390882944180007,0.244774477447745,NA,902,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
3,874,0.0068649885583524,0.397219771271777,0.247254004576659,NA,862,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
4,842,0.00950118764845606,0.401425460249039,0.252256532066508,NA,826,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
5,816,0.00980392156862745,0.402190413542868,0.262009803921569,NA,798,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
6,792,0.0126262626262626,0.407981806703398,0.271212121212121,NA,772,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
7,773,0.0168175937904269,0.417102098810267,0.277360931435964,NA,754,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
8,653,0.0214395099540582,0.428629555192315,0.288208269525268,NA,629,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
9,438,0.0388127853881279,0.454568034444653,0.334018264840183,NA,414,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
10,159,0.10062893081761,0.493198449428425,0.49622641509434,NA,146,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
11,162,0.0864197530864197,0.49293933851547,0.507407407407407,NA,151,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
12,163,0.0736196319018405,0.493565809778313,0.502453987730061,NA,150,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
13,162,0.0617283950617284,0.493533760097546,0.506172839506173,NA,148,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
14,159,0.0817610062893082,0.490844903287053,0.487421383647799,NA,147,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
15,151,0.0794701986754967,0.492083680540327,0.47682119205298,NA,139,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
16,144,0.0902777777777778,0.490212673611111,0.471527777777778,NA,133,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
17,134,0.111940298507463,0.484141791044776,0.464925373134328,NA,122,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
18,121,0.132231404958678,0.476063793456731,0.427272727272727,NA,112,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
19,115,0.121739130434783,0.480461247637051,0.436521739130435,NA,105,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
20,112,0.107142857142857,0.469722576530612,0.403571428571429,NA,102,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
21,109,0.119266055045872,0.471828970625368,0.43302752293578,NA,100,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
22,106,0.132075471698113,0.478422036311855,0.423584905660377,NA,97,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
23,106,0.150943396226415,0.480437878248487,0.415094339622642,NA,95,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
24,104,0.182692307692308,0.477815273668639,0.404807692307692,NA,97,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
25,100,0.19,0.47548,0.394,NA,93,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
26,92,0.141304347826087,0.457159735349716,0.38695652173913,NA,83,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
