year,popsize,propmig,He,Ho,meanRRS,nadults,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort,plotit,V21
56,60,0.283333333333333,0.437972222222222,0.406666666666667,NA,57,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
57,60,0.283333333333333,0.444236111111111,0.408333333333333,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
58,61,0.278688524590164,0.453332437516797,0.395081967213115,NA,56,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
59,63,0.333333333333333,0.458881330309902,0.396825396825397,NA,59,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
60,61,0.295081967213115,0.463101316850309,0.40327868852459,NA,56,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
61,62,0.306451612903226,0.462408949011446,0.432258064516129,NA,57,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
62,61,0.278688524590164,0.461058855146466,0.416393442622951,NA,56,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
63,59,0.288135593220339,0.469074978454467,0.415254237288136,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
64,56,0.267857142857143,0.467984693877551,0.421428571428571,NA,49,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
65,57,0.245614035087719,0.46786703601108,0.410526315789474,NA,52,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
66,54,0.240740740740741,0.473199588477366,0.424074074074074,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
67,55,0.254545454545455,0.471057851239669,0.452727272727273,NA,49,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
68,57,0.280701754385965,0.477746999076639,0.449122807017544,NA,52,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
69,57,0.315789473684211,0.47900892582333,0.445614035087719,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
70,56,0.285714285714286,0.479591836734694,0.428571428571429,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
71,55,0.309090909090909,0.480776859504132,0.456363636363636,NA,52,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
72,57,0.315789473684211,0.483010156971376,0.456140350877193,NA,52,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
73,55,0.290909090909091,0.481355371900826,0.454545454545455,NA,51,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
74,55,0.290909090909091,0.477586776859504,0.472727272727273,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
75,56,0.267857142857143,0.478172831632653,0.458928571428571,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
76,54,0.259259259259259,0.483041838134431,0.435185185185185,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
77,48,0.1875,0.4876953125,0.43125,NA,45,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
78,52,0.211538461538462,0.483931213017751,0.432692307692308,NA,47,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
79,54,0.240740740740741,0.482767489711934,0.453703703703704,NA,48,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
80,54,0.222222222222222,0.474948559670782,0.457407407407407,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
81,56,0.25,0.486654974489796,0.451785714285714,NA,49,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
82,57,0.228070175438596,0.484056632810095,0.470175438596491,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
83,57,0.245614035087719,0.479470606340412,0.456140350877193,NA,53,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
84,61,0.295081967213115,0.475557645794141,0.483606557377049,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
85,57,0.228070175438596,0.477346875961834,0.498245614035088,NA,51,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
86,56,0.178571428571429,0.469738520408163,0.517857142857143,NA,51,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
87,60,0.216666666666667,0.475555555555556,0.516666666666667,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
88,57,0.228070175438596,0.479562942443829,0.508771929824561,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
89,63,0.26984126984127,0.480839002267574,0.487301587301587,NA,57,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
90,63,0.26984126984127,0.483207357016881,0.493650793650794,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
91,57,0.192982456140351,0.484487534626039,0.487719298245614,NA,51,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
92,59,0.220338983050847,0.486799770180982,0.489830508474576,NA,55,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
93,60,0.25,0.489736111111111,0.445,NA,55,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
94,59,0.23728813559322,0.4909652398736,0.459322033898305,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
95,58,0.258620689655172,0.492434601664685,0.456896551724138,NA,55,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
96,54,0.222222222222222,0.492026748971193,0.468518518518519,NA,48,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
97,58,0.224137931034483,0.491676575505351,0.479310344827586,NA,51,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
98,57,0.263157894736842,0.491735918744229,0.478947368421053,NA,53,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
99,53,0.226415094339623,0.489426842292631,0.471698113207547,NA,49,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
100,49,0.204081632653061,0.487609329446064,0.459183673469388,NA,45,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
1,954,0.00419287211740042,0.477917704995847,0.308280922431866,NA,618,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
2,912,0.00767543859649123,0.478107145948753,0.309320175438596,NA,904,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
3,877,0.0102622576966933,0.47856094361284,0.309464082098062,NA,864,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
4,848,0.0106132075471698,0.478222134767711,0.312382075471698,NA,832,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
5,820,0.0121951219512195,0.478332242712671,0.317560975609756,NA,805,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
6,796,0.0138190954773869,0.479844969192697,0.32248743718593,NA,777,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
7,776,0.0193298969072165,0.479949134472314,0.326675257731959,NA,758,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
8,674,0.0252225519287834,0.480538923473835,0.332047477744807,NA,650,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
9,407,0.0417690417690418,0.482584863174544,0.354791154791155,NA,384,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
10,157,0.101910828025478,0.477982879630005,0.452229299363057,NA,144,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
11,164,0.109756097560976,0.479627082093992,0.434756097560976,NA,151,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
12,163,0.0858895705521472,0.482880424554932,0.443558282208589,NA,150,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
13,160,0.08125,0.487318359375,0.446875,NA,148,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
14,153,0.0522875816993464,0.491193558033235,0.438562091503268,NA,140,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
15,146,0.0616438356164384,0.494511165321824,0.424657534246575,NA,134,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
16,140,0.0714285714285714,0.495663265306122,0.415714285714286,NA,128,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
17,128,0.078125,0.494439697265625,0.4125,NA,115,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
18,118,0.110169491525424,0.483625395001436,0.420338983050847,NA,109,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
19,113,0.106194690265487,0.478753230480069,0.4,NA,104,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
20,110,0.109090909090909,0.482971074380165,0.424545454545455,NA,101,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
21,105,0.114285714285714,0.480807256235828,0.405714285714286,NA,97,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
22,107,0.158878504672897,0.480998340466416,0.399065420560748,NA,98,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
23,100,0.16,0.478745,0.403,NA,93,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
24,94,0.159574468085106,0.481388637392485,0.407446808510638,NA,88,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
25,91,0.164835164835165,0.480545827798575,0.406593406593407,NA,83,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
26,88,0.170454545454545,0.458135330578512,0.393181818181818,NA,80,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
27,83,0.144578313253012,0.473123820583539,0.41566265060241,NA,75,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
28,81,0.160493827160494,0.47902758725804,0.424691358024691,NA,75,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
29,78,0.153846153846154,0.472189349112426,0.420512820512821,NA,71,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
30,80,0.1625,0.473734375,0.4275,NA,71,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
31,81,0.197530864197531,0.478928516994361,0.430864197530864,NA,74,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
32,83,0.192771084337349,0.482842212222383,0.448192771084337,NA,74,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
33,83,0.168674698795181,0.467825518943243,0.449397590361446,NA,75,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
34,85,0.2,0.463051903114187,0.438823529411765,NA,78,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
35,82,0.195121951219512,0.468798334324807,0.441463414634146,NA,76,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
36,83,0.192771084337349,0.456982145449267,0.418072289156627,NA,75,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
37,85,0.211764705882353,0.461051903114187,0.407058823529412,NA,79,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
38,84,0.202380952380952,0.468261054421769,0.417857142857143,NA,77,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
39,79,0.164556962025316,0.458820701810607,0.420253164556962,NA,71,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
40,80,0.1875,0.45059375,0.3975,NA,74,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
41,76,0.184210526315789,0.443732686980609,0.355263157894737,NA,70,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
42,76,0.210526315789474,0.450649238227147,0.343421052631579,NA,70,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
43,74,0.189189189189189,0.45804419284149,0.358108108108108,NA,67,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
44,73,0.191780821917808,0.458134734471758,0.372602739726027,NA,67,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
45,71,0.183098591549296,0.472505455266812,0.394366197183099,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
46,71,0.169014084507042,0.471811148581631,0.408450704225352,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
