year,popsize,propmig,He,Ho,meanRRS,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort
22,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
23,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
24,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
25,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
26,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
27,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
28,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
29,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
30,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
31,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
32,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
33,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
34,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
35,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
36,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
37,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
38,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
39,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
40,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
41,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
42,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
43,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
44,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
45,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
46,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
47,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
48,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
49,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
50,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
51,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
52,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
53,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
