year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
7,699,0,0.162646971101723,0.162938873715698,0.000212194610603375,458,0.497854077253219,0,0.000960252982459194,4,1,241,0.362973479757028,NA,1000,0,0.162762387826765,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
8,700,0,0.162694556586271,0.16292987012987,-9.10810727494629e-05,463,0.512857142857143,0,0.00124791246354886,4,1,237,0.363066167081922,NA,1000,0,0.16292987012987,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
9,709,0,0.162413811687188,0.162915758430568,-0.000777595536863312,473,0.521861777150917,0,0.00150706182183574,4,1,236,0.363173904180219,NA,1000,0,0.162915758430568,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
10,741,0,0.162084916764226,0.162730953257269,-0.00119794909247126,503,0.524966261808367,0,0.00176572943107229,4,1,238,0.36328929462847,NA,1000,0,0.162730953257269,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
11,730,0,0.162275597502516,0.162783312577833,-0.000821049757860289,503,0.532876712328767,0,0.00200953537470643,4,1,227,0.363348976296056,NA,1000,0,0.162783312577833,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
12,721,0,0.162372834805607,0.162876055982852,-0.000797109255642371,489,0.517337031900139,0,0.00224761466544305,4,1,232,0.363516335690639,NA,1000,0,0.162876055982852,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
13,692,0,0.162610954827941,0.162702312138728,0.000276332062591224,459,0.528901734104046,0,0.00261904945357083,4,1,233,0.363691994443867,NA,1000,0,0.162702312138728,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
14,693,0,0.162916194610409,0.162984389348026,0.000334193288059656,449,0.516594516594517,0,0.00291807970974869,4,1,244,0.363827124111656,NA,1000,0,0.162984389348026,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
15,710,0,0.163073179924618,0.163393085787452,-0.000313543361374918,470,0.511267605633803,0,0.00322065348941043,4,1,240,0.363895061289344,NA,1000,0,0.163393085787452,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
16,724,0,0.162007932450169,0.162059266700151,0.000363549696703282,495,0.493093922651934,0,0.00354071072604447,4,1,229,0.364135853997655,NA,1000,0,0.162059266700151,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
17,721,0,0.161999363091966,0.162272096835204,-0.00020515537544539,488,0.488210818307906,0,0.00377439001377308,4,1,233,0.364270334876341,NA,1000,0,0.162272096835204,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
18,729,0,0.161739963950501,0.161942885646589,-3.15336438544347e-05,495,0.518518518518518,0,0.0040277955979125,4,1,234,0.364459914897251,NA,1000,0,0.161942885646589,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
19,724,0,0.161683717960102,0.16213711702662,-0.000674905788449077,498,0.501381215469613,0,0.00419878959124106,4,1,226,0.364454424928624,NA,1000,0,0.16213711702662,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
20,723,0,0.161792700163252,0.16210235131397,-0.000302517175753391,491,0.496542185338866,0,0.00453003439126381,4,1,232,0.364581969629684,NA,1000,0,0.16210235131397,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
21,707,0,0.161613587303366,0.162227079850842,-0.00106178906421007,481,0.502121640735502,0,0.00484224355894948,4,1,226,0.364719318280163,NA,1000,0,0.162227079850842,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
22,713,0,0.161333228065011,0.161818181818182,-0.000743238434524764,479,0.509116409537167,0,0.00511520554483959,4,1,234,0.364928313390326,NA,1000,0,0.161818181818182,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
23,708,0,0.161275449300532,0.161611453518233,-0.000356804731530953,475,0.5,0,0.00533832189592868,4,1,233,0.365052631036454,NA,1000,0,0.161611453518233,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
24,701,0,0.16188737174657,0.162383607832966,-0.000754085597604884,469,0.510699001426534,0,0.00561795074056675,4,1,232,0.365060411083182,NA,1000,0,0.162383607832966,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
25,706,0,0.162028600918218,0.162442698944115,-0.000551528287871857,474,0.498583569405099,0,0.00596697034615313,4,1,232,0.365139429361524,NA,1000,0,0.162442698944115,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
26,730,0,0.162137939917092,0.16240099626401,-0.000187461258030175,513,0.484931506849315,0,0.00608315715267843,4,1,217,0.365136662192428,NA,1000,0,0.16240099626401,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
27,722,0,0.162715133994312,0.162859481238983,0.000125564400738591,493,0.488919667590028,0,0.00630743004441914,4,1,229,0.365180703068578,NA,1000,0,0.162859481238983,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
28,736,0,0.162409318477187,0.162806324110672,-0.000540428608114946,505,0.467391304347826,0,0.00651494848751148,4,1,231,0.365274917004944,NA,1000,0,0.162806324110672,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
29,717,0,0.162284248093583,0.162770381640675,-0.000748261728932078,496,0.481171548117155,0,0.00666831922111842,4,1,221,0.365375287793161,NA,1000,0,0.162770381640675,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
