year,CR,EN,VU
229,0.859397171299169,1.05540191529828,1.14298408053256
230,0.860625902073968,1.05603491294602,1.14371176256046
231,0.862006228850509,1.05707210238827,1.14450326454788
232,0.863666123937462,1.05812454021085,1.14551354491335
233,0.865128806675405,1.05951255733689,1.14648922708638
234,0.866640627608063,1.06063593857902,1.14715322184006
235,0.86822912713465,1.06135770501562,1.14819852288896
236,0.869588094500312,1.06246033549287,1.14863259518927
237,0.870986034974777,1.06315405923726,1.14963582173333
238,0.872410067435558,1.06392082688653,1.15048638548949
239,0.873947949960603,1.06466975074157,1.15155931122125
240,0.875296043690058,1.06544082556805,1.15229796478981
241,0.87658267170916,1.06654849697322,1.15287367390574
242,0.877973982895756,1.06734403040528,1.15367047748054
243,0.879277645028962,1.06800678645672,1.15448874808986
244,0.880848591426823,1.06903341438092,1.15551066136427
245,0.882146960555508,1.07002137400244,1.15666985701216
246,0.883580756377538,1.07080274818661,1.1573349116279
247,0.885148107938788,1.07194192538028,1.15822908916962
248,0.886715560827716,1.07284100807617,1.15862358521449
249,0.887877132999732,1.07371295493712,1.15944844958198
250,0.889115331243216,1.07432298903034,1.16039716734566
251,0.89022761583107,1.07475619249266,1.16081494190766
252,0.891498099644101,1.07562836277775,1.16177073398673
253,0.892853914087774,1.07675381392861,1.16261708343043
254,0.894071939420691,1.07752366393626,1.16341913963481
255,0.895233125567929,1.07835089771527,1.16427071468934
256,0.89658049229207,1.07910528807012,1.16509805098812
257,0.897845837737897,1.07960528609753,1.16594987205782
258,0.899264570415655,1.08026829729031,1.16651181824992
259,0.900374373153258,1.08105240994478,1.16704911028938
260,0.901450177153234,1.08195386134028,1.16751866972978
261,0.902662746316517,1.08275590100824,1.16810042649225
262,0.904441305909986,1.08370492428828,1.168842287235
263,0.905877642620836,1.08470267065975,1.16986139752176
264,0.907344067398222,1.08558592621333,1.17051182754753
265,0.908702361199407,1.08601652592664,1.17128927067476
266,0.909981345298163,1.0868610130249,1.17192501278947
267,0.911260200998964,1.08774934920772,1.17206526543041
268,0.912476539359432,1.08820500699472,1.17262627997912
269,0.913660761000661,1.08901352684046,1.17322866873461
270,0.915229890803615,1.09001253808304,1.1739666585264
271,0.916442731631781,1.09087705908498,1.17454573399508
272,0.917542729856067,1.09172640698559,1.17493609770335
273,0.918805335737355,1.09219507347165,1.17585235114304
274,0.920120348538407,1.09289689225077,1.17645470985823
275,0.921561195883406,1.09352784797811,1.17728088570812
276,0.922368869049378,1.09404322436931,1.17753614947505
277,0.923628724083202,1.09486307611431,1.17831779894487
278,0.924650136024325,1.09575623554772,1.1791350574676
279,0.925619233145854,1.09620933288428,1.17978135169732
280,0.926867968549433,1.09692820915203,1.18018416706596
281,0.928106220146291,1.09803968109283,1.1808656913854
282,0.929466631551622,1.09885659327263,1.18141086510612
283,0.930585568474254,1.09966104678126,1.18169034976226
284,0.931740550936108,1.10075013972023,1.18271760618126
285,0.932644979395575,1.10124293746237,1.18324842917796
286,0.933882039987697,1.10194832203481,1.1837812289227
287,0.935056849962623,1.10252828520251,1.18447427339048
288,0.936386352927699,1.10306567907218,1.18507804618927
289,0.937534075438568,1.10378683292389,1.18546685121763
290,0.9388603095474,1.10434773726127,1.18588387534142
291,0.940032416255573,1.10499007314363,1.18650201024977
292,0.941174362695227,1.10523787119036,1.18689123308352
293,0.942333361004288,1.10613987866764,1.18764152481588
294,0.943226780126304,1.10666647324999,1.18833693913924
295,0.944509310081525,1.1077131826756,1.18887600776025
296,0.945660387732413,1.10838431706693,1.18944509517966
297,0.946975599296648,1.10897351800954,1.19003144167075
298,0.948116153694304,1.109576247936,1.19044045252275
299,0.949168359059804,1.11014926631072,1.19076147170277
300,0.950162238123665,1.11101437186535,1.19124964377996
301,0.950940120427631,1.11162040783755,1.19164134152276
302,0.952286278610395,1.11227024547206,1.19227433551934
303,0.9535938496654,1.11276969671789,1.19281471159403
304,0.954617096350325,1.11376930466483,1.19328213502025
305,0.955438559351695,1.11459821370822,1.19351343980909
306,0.956515793659407,1.11527670170652,1.19401125683679
307,0.957354361971022,1.11572862261162,1.1948153735167
308,0.958399909316548,1.11633388785165,1.1955398960145
309,0.959623384565383,1.1166583061251,1.19582181954009
310,0.960767220151786,1.11740522833137,1.19653641678423
311,0.96180632052929,1.11823519781694,1.19653571968288
312,0.962905786619273,1.118826571804,1.19694454845387
313,0.963825170335493,1.119359142116,1.19724636299302
314,0.964658624113994,1.11969156316796,1.19759891340856
315,0.96571375153881,1.12040112980358,1.19800426372306
316,0.966726334939763,1.12068493585701,1.1984631219855
317,0.967616144181267,1.12142832425037,1.1989172612497
318,0.968457657249248,1.12210818696743,1.19911450182774
319,0.969642949194139,1.12259190960042,1.19931665850519
320,0.970471929423458,1.1230597299876,1.19988992192034
321,0.971310800143745,1.12376524261326,1.20007901277532
322,0.972338386032307,1.12387098567151,1.20077045796936
323,0.973323882056668,1.12460996910395,1.20125957539638
324,0.974338961345933,1.12507783967711,1.20182162975109
325,0.975560705890047,1.12565392593347,1.20248722500463
326,0.976429332967575,1.12599955919218,1.20255253511189
327,0.977476298681926,1.12656015771967,1.20292154047372
328,0.978322354308616,1.1274057309234,1.20337575264914
329,0.979410584440507,1.12852113189175,1.20411476810259
330,0.980212114271632,1.12882651313772,1.20460880289894
331,0.981104855412213,1.1291388519425,1.20497699677857
332,0.982013523890521,1.1294771933616,1.20584340039932
333,0.983088899445415,1.1300361224154,1.20637289190134
334,0.984169654813392,1.13057826636238,1.20673001339074
335,0.984866077448901,1.13104162348691,1.20721580847449
336,0.985850479554173,1.13165402114708,1.20782385176898
337,0.986562401913239,1.13211600701849,1.20814232150849
338,0.987358697122427,1.13284446060621,1.20832076539818
339,0.988358448249843,1.13332651578347,1.2087640316066
340,0.989436961988948,1.13385002919191,1.209531294269
341,0.990285361446835,1.13426205579103,1.20994213700999
342,0.991279445527594,1.13499070104183,1.21012716944677
343,0.992199992434824,1.13547943512286,1.21054757306047
344,0.993080506775193,1.13596838188017,1.21111271582946
345,0.99373495631167,1.13627880085162,1.21117075132349
346,0.994610468248475,1.13695976305416,1.21130166773711
347,0.995439432078192,1.13756267937945,1.21164653992215
348,0.996144363833344,1.13841570248232,1.21255969456919
349,0.997055676102513,1.13904875057926,1.21260451530917
350,0.997605162235088,1.13980821770289,1.21301736151042
