YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,LRSmigs,LRSnative,project,group
174,164,1.21951219512195,1.38373009038633,1.25882352941176,1.17721518987342,0.0938086303939963,0.106440776183564,1,3,NaN,1.21951219512195,_proj_,_group_
175,210,1.15238095238095,1.42621359306122,1.17894736842105,1.1304347826087,0.0886446886446886,0.109708737927786,1,3,0.875,1.23456790123457,_proj_,_group_
176,164,1.28658536585366,1.52188631703985,1.21649484536082,1.38805970149254,0.098968105065666,0.117068178233835,1,3,NaN,1.28658536585366,_proj_,_group_
177,175,1.4,1.74197668142277,1.31460674157303,1.48837209302326,0.107692307692308,0.13399820626329,1,3,NaN,1.4,_proj_,_group_
178,181,1.37569060773481,1.64730931905138,1.46987951807229,1.29591836734694,0.105822354441139,0.126716101465491,1,3,NaN,1.37569060773481,_proj_,_group_
179,180,1.20555555555556,1.43654311254998,1.11363636363636,1.29347826086957,0.0927350427350427,0.110503316349998,1,3,NaN,1.20555555555556,_proj_,_group_
180,195,1.09230769230769,1.49283246575656,1.04854368932039,1.14130434782609,0.0840236686390533,0.114833266596658,1,3,NaN,1.09230769230769,_proj_,_group_
181,178,1.41011235955056,1.54236189439856,1.55555555555556,1.26136363636364,0.108470181503889,0.118643222646043,1,3,NaN,1.41011235955056,_proj_,_group_
182,179,1.26256983240223,1.41552233158634,1.26190476190476,1.26315789473684,0.0971207563386334,0.108886333198949,1,3,NaN,1.26256983240223,_proj_,_group_
183,181,1.41436464088398,1.62945568950988,1.32967032967033,1.5,0.108797280067998,0.125342745346914,1,3,NaN,1.41436464088398,_proj_,_group_
184,184,1.28260869565217,1.40121794762791,1.3,1.26595744680851,0.0986622073578595,0.107785995971378,1,3,NaN,1.28260869565217,_proj_,_group_
185,184,1.52717391304348,1.67570901792596,1.68421052631579,1.35955056179775,0.11747491638796,0.128900693686612,1,3,NaN,1.52717391304348,_proj_,_group_
186,184,1.09782608695652,1.28087898959364,1.20212765957447,0.988888888888889,0.0844481605351171,0.0985291530456645,1,3,NaN,1.09782608695652,_proj_,_group_
187,183,1.41530054644809,1.52351018647609,1.43023255813953,1.4020618556701,0.108869272803699,0.117193091267391,1,3,NaN,1.41530054644809,_proj_,_group_
188,193,1.1139896373057,1.45683058522902,1.10679611650485,1.12222222222222,0.0856915105619769,0.112063891171463,1,3,NaN,1.1139896373057,_proj_,_group_
189,174,1.2816091954023,1.51142307368275,1.25,1.32432432432432,0.0985853227232538,0.116263313360212,1,3,NaN,1.2816091954023,_proj_,_group_
190,178,1.21910112359551,1.47379186600161,1.1547619047619,1.27659574468085,0.0937770095073466,0.113368605077047,1,3,NaN,1.21910112359551,_proj_,_group_
191,169,1.33727810650888,1.40105221498028,1.42857142857143,1.24705882352941,0.102867546654529,0.107773247306176,1,3,NaN,1.33727810650888,_proj_,_group_
192,179,1.29050279329609,1.56667158592291,1.30434782608696,1.27586206896552,0.0992694456381607,0.120513198917147,1,3,NaN,1.29050279329609,_proj_,_group_
193,167,1.64670658682635,1.59848514248318,1.44578313253012,1.8452380952381,0.126669737448181,0.12296039557563,1,3,NaN,1.64670658682635,_proj_,_group_
194,182,1.41208791208791,1.57342117059421,1.34042553191489,1.48863636363636,0.108622147083686,0.121032397738017,1,3,NaN,1.41208791208791,_proj_,_group_
195,182,1.44505494505495,1.78846912754142,1.6078431372549,1.2375,0.111158072696534,0.137574548272417,1,3,NaN,1.44505494505495,_proj_,_group_
196,189,1.3968253968254,1.66509551070715,1.31683168316832,1.48863636363636,0.107448107448107,0.128084270054396,1,3,NaN,1.3968253968254,_proj_,_group_
197,183,1.49726775956284,1.63705148018931,1.36666666666667,1.62365591397849,0.115174443043296,0.125927036937639,1,3,NaN,1.49726775956284,_proj_,_group_
198,197,1.25888324873096,1.36985950850235,1.43820224719101,1.11111111111111,0.096837172979305,0.105373808346334,1,3,NaN,1.25888324873096,_proj_,_group_
199,176,1.26704545454545,1.36580455333919,1.35106382978723,1.17073170731707,0.097465034965035,0.1050618887184,1,3,NaN,1.26704545454545,_proj_,_group_
200,174,1.17241379310345,1.27408039194023,1.15,1.2027027027027,0.090185676392573,0.0980061839954023,1,3,NaN,1.17241379310345,_proj_,_group_
201,166,1.35542168674699,1.68420491174291,1.2375,1.46511627906977,0.104263206672845,0.129554223980224,1,3,NaN,1.35542168674699,_proj_,_group_
