year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
229,705,0,0.386410222642907,0.387994842037395,0.291958792977527,467,0.512056737588652,0,0.073908808371191,1,1,238,NA,NA,1000,0.106524822695035,0.387994842037395,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
230,732,0,0.386481577057867,0.387965722801788,0.287699301245331,505,0.490437158469945,0,0.0742731452872061,1,1,227,NA,NA,1000,0.111612021857924,0.387965722801788,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
231,722,0,0.386608756629609,0.388504155124654,0.288834665028737,496,0.505540166204986,0,0.0749806327997035,1,1,226,NA,NA,1000,0.113850415512465,0.388504155124654,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
232,734,0,0.386006230514876,0.387094377012633,0.287931730156488,507,0.512261580381471,0,0.0746480579504532,1,1,227,NA,NA,1000,0.111989100817439,0.387094377012633,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
233,742,0,0.386341898324429,0.386927223719677,0.287097900612604,523,0.514824797843666,0,0.0741793629094677,1,1,219,NA,NA,1000,0.11233153638814,0.386927223719677,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
234,736,0,0.38694038555003,0.38635128458498,0.289070399031042,522,0.510869565217391,0,0.0728081796482026,1,1,214,NA,NA,1000,0.109103260869565,0.38635128458498,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
235,720,0,0.387491354517396,0.385353535353535,0.293000418775719,507,0.520833333333333,0,0.072232975229546,1,1,213,NA,NA,1000,0.109513888888889,0.385353535353535,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
236,709,0,0.387725226426809,0.385139120400051,0.29512515518288,481,0.507757404795487,0,0.0719868639412457,1,1,228,NA,NA,1000,0.11064880112835,0.385139120400051,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
237,708,0,0.386920310908569,0.38550333846944,0.294345168099252,481,0.518361581920904,0,0.0729343880562856,1,1,227,NA,NA,1000,0.110593220338983,0.38550333846944,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
238,722,0,0.38679342302329,0.38653991437925,0.290972040315357,494,0.533240997229917,0,0.0729107394566423,1,1,228,NA,NA,1000,0.110734072022161,0.38653991437925,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
239,725,0,0.386774065506432,0.388815047021944,0.288156546957447,508,0.524137931034483,0,0.0738654019749179,1,1,217,NA,NA,1000,0.114551724137931,0.388815047021944,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
240,727,0,0.387060871692084,0.388983368763286,0.287873682001934,507,0.508940852819807,0,0.0747129092318558,1,1,220,NA,NA,1000,0.118775790921596,0.388983368763286,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
241,712,0,0.38622283723646,0.38847037793667,0.290205028238966,493,0.502808988764045,0,0.0758788463192996,1,1,219,NA,NA,1000,0.117766853932584,0.38847037793667,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
242,705,0,0.385950532943743,0.388729851708575,0.290891612773724,481,0.495035460992908,0,0.0766470772137156,1,1,224,NA,NA,1000,0.118936170212766,0.388729851708575,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
243,725,0,0.385571159874608,0.384764890282132,0.291425602733579,496,0.491034482758621,0,0.0777052397504904,1,1,229,NA,NA,1000,0.118758620689655,0.384764890282132,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
244,720,0,0.385607340768799,0.385227272727273,0.291770250073934,496,0.508333333333333,0,0.0779794415798837,1,1,224,NA,NA,1000,0.11875,0.385227272727273,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
245,722,0,0.385195402122451,0.384059430873835,0.292347672025026,503,0.508310249307479,0,0.0785874157553067,1,1,219,NA,NA,1000,0.118767313019391,0.384059430873835,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
246,715,0,0.38475714749332,0.384513668150032,0.292679791319399,492,0.488111888111888,0,0.0790236728246134,1,1,223,NA,NA,1000,0.119440559440559,0.384513668150032,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
247,732,0,0.38375631822118,0.385767511177347,0.287962949476346,508,0.502732240437158,0,0.079551475250466,1,1,224,NA,NA,1000,0.11646174863388,0.385767511177347,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
248,731,0,0.382914299849387,0.385113791816938,0.288177196107624,511,0.504787961696306,0,0.0796090368496071,1,1,220,NA,NA,1000,0.112790697674419,0.385113791816938,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
249,719,0,0.38356204468387,0.385586041218865,0.290083638535429,499,0.492350486787204,0,0.0797900331313599,1,1,220,NA,NA,1000,0.1163421418637,0.385586041218865,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
250,713,0,0.384326059506883,0.384317225551447,0.292889355809118,491,0.489481065918654,0,0.0794410133061039,1,1,222,NA,NA,1000,0.117671809256662,0.384317225551447,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
0,1000,0,0.42784445,0.24845,0,252,0.492,0,0,1,2,0,0.17680840462911,0.471773946492156,1000,0,0.225863636363636,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
1,900,0,0.428091464646465,0.250630303030303,0.469843506836728,521,0.491111111111111,1,-0.000728446604691261,1,2,13,NA,NA,1000,5.55555555555556e-05,0.228393939393939,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
2,814,0.00122850122850123,0.428346870079615,0.274623631896359,0.442077729634382,709,0.482800982800983,1,-0.000628444545276018,1,2,105,NA,NA,1000,0.00153562653562654,0.255182041545678,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
3,726,0.00275482093663912,0.428458695623677,0.313791635361883,0.400877419086894,569,0.483471074380165,1,-0.000430068266881915,1,2,157,NA,NA,1000,0.00488980716253444,0.29916103180566,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
4,690,0.00289855072463768,0.427900832521815,0.359513833992095,0.353452130108076,476,0.479710144927536,1,1.70365968583594e-06,1,2,214,NA,NA,1000,0.0058695652173913,0.350764163372859,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
5,694,0.00432276657060519,0.428389498595318,0.394055541000786,0.316106030695209,466,0.45821325648415,1,0.000321984348387576,1,2,228,NA,NA,1000,0.0085014409221902,0.389690856693739,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
6,721,0.0013869625520111,0.427737712108125,0.417972512923969,0.285960415150124,492,0.479889042995839,1,0.000851598034954245,1,2,228,NA,NA,1000,0.00499306518723994,0.416416593115622,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
7,727,0.00275103163686382,0.428384302985697,0.424610478929599,0.278050225347386,502,0.497936726272352,1,0.00105760516062472,1,2,225,NA,NA,1000,0.00928473177441541,0.424009003376266,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
8,711,0.00281293952180028,0.428656565117068,0.428538550057537,0.276488041979172,488,0.509142053445851,1,0.00132210953157393,1,2,223,NA,NA,1000,0.0123769338959212,0.428397903081447,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
9,719,0.00278164116828929,0.428496971197581,0.430188392970034,0.273447516551689,492,0.522948539638387,1,0.00170834395436435,1,2,227,NA,NA,1000,0.0141863699582754,0.430079656088001,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
10,706,0.0028328611898017,0.427543848065841,0.429023950553696,0.275988064945561,487,0.501416430594901,1,0.00232499369097764,1,2,219,NA,NA,1000,0.0152974504249292,0.428946690703065,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
11,703,0.00142247510668563,0.428172273085053,0.430268977111082,0.275677092257895,476,0.530583214793741,1,0.00289983830504611,1,2,227,NA,NA,1000,0.0182788051209104,0.430234061813009,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
12,721,0,0.428249581908874,0.429655781112092,0.273363939087259,493,0.535367545076283,1,0.00316562410750897,1,2,228,NA,NA,1000,0.0169902912621359,0.429655781112092,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
13,723,0,0.428887756718717,0.430743115805356,0.272432474889967,500,0.515905947441217,1,0.0033787956206395,1,2,223,NA,NA,1000,0.0189488243430152,0.430743115805356,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
14,718,0.00139275766016713,0.428749697571615,0.428732590529248,0.275130837822205,495,0.506963788300836,1,0.00398031675218785,1,2,223,NA,NA,1000,0.0233286908077994,0.428703469232717,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
15,721,0,0.428569050221825,0.430967091161266,0.272308472114173,500,0.485436893203884,1,0.00426431471505007,1,2,221,NA,NA,1000,0.0233009708737864,0.430967091161266,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
16,717,0.00139470013947001,0.42840724961136,0.42853936858121,0.275244849101451,499,0.471408647140865,1,0.00493120142492632,1,2,218,NA,NA,1000,0.0258019525801953,0.428502599213896,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
17,710,0.00140845070422535,0.429409875385475,0.430971830985915,0.274720410699962,488,0.453521126760563,1,0.00524137039620728,1,2,222,NA,NA,1000,0.0276760563380282,0.430934699103713,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
18,729,0.00274348422496571,0.430196698478973,0.433009103379474,0.270243058141635,501,0.477366255144033,1,0.00532452430720805,1,2,228,NA,NA,1000,0.0343621399176955,0.43294675146527,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
19,722,0.00138504155124654,0.430325320833662,0.432020901536137,0.272393144825002,501,0.466759002770083,1,0.00581233907926725,1,2,221,NA,NA,1000,0.035803324099723,0.431994459833795,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
20,736,0.00135869565217391,0.430614881946533,0.431918231225296,0.270480496672656,514,0.470108695652174,1,0.00593441052791036,1,2,222,NA,NA,1000,0.0387907608695652,0.431879940711462,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
21,723,0.00276625172890733,0.430627664012936,0.430235131396957,0.274236725581541,504,0.459197786998617,1,0.00646269263472151,1,2,219,NA,NA,1000,0.0412863070539419,0.430164717716585,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
22,734,0,0.430841327057146,0.431669556601437,0.271167356192789,514,0.483651226158038,1,0.00615966682486293,1,2,220,NA,NA,1000,0.0406675749318801,0.431669556601437,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
23,741,0.00134952766531714,0.431323694417664,0.432250030671083,0.269872043933473,523,0.488529014844804,1,0.00612684828406792,1,2,218,NA,NA,1000,0.0436572199730094,0.432216905901116,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
24,710,0.00140845070422535,0.431094281437666,0.433070422535211,0.273871982072526,490,0.480281690140845,1,0.00628035144165193,1,2,219,NA,NA,1000,0.0417605633802817,0.43303457106274,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
25,714,0.00280112044817927,0.43170192319352,0.434634581105169,0.272160916955832,484,0.484593837535014,1,0.00630766607715578,1,2,230,NA,NA,1000,0.0455182072829132,0.434568372803667,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
26,714,0.00140056022408964,0.431310581273508,0.434993633817163,0.271501516733485,501,0.515406162464986,1,0.00653074514561056,1,2,213,NA,NA,1000,0.0471288515406162,0.434963076139547,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
27,717,0,0.43125982430704,0.436198808165335,0.26977246756424,491,0.529986052998605,1,0.00641576554583884,1,2,226,NA,NA,1000,0.048326359832636,0.436198808165335,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
28,697,0,0.430703069051268,0.43417242728577,0.274653030055619,472,0.546628407460545,1,0.00690521858883155,1,2,225,NA,NA,1000,0.051219512195122,0.43417242728577,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
29,698,0,0.43214486035717,0.436220369887992,0.273528333234899,470,0.554441260744986,1,0.00736414670686972,1,2,228,NA,NA,1000,0.0572349570200573,0.436220369887992,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
30,705,0,0.43234242835782,0.435912314635719,0.272794918103524,478,0.519148936170213,1,0.00757353464920254,1,2,227,NA,NA,1000,0.0580141843971631,0.435912314635719,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
31,720,0,0.431878191638608,0.436969696969697,0.268969352082915,491,0.495833333333333,1,0.00768674960245325,1,2,229,NA,NA,1000,0.0577083333333333,0.436969696969697,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
32,731,0.00136798905608755,0.431905609946017,0.433472204949633,0.270663734141103,506,0.518467852257182,1,0.00784842244771359,1,2,224,NA,NA,1000,0.0583447332421341,0.433441114289268,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
33,726,0.00137741046831956,0.431351309350592,0.431348610067618,0.273146531447096,509,0.505509641873278,1,0.00780915542750803,1,2,217,NA,NA,1000,0.0566115702479339,0.431317305284247,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
34,701,0.0014265335235378,0.433368100964016,0.431364284787965,0.278561199692387,482,0.500713266761769,1,0.00794675597869501,1,2,219,NA,NA,1000,0.059771754636234,0.431331863571521,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
35,715,0.0013986013986014,0.43344176865728,0.431684678957406,0.276056427869962,488,0.517482517482518,1,0.00816905615219271,1,2,227,NA,NA,1000,0.0616083916083916,0.431646535282899,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
36,720,0.00138888888888889,0.43383598134119,0.434525252525253,0.272768509635243,496,0.513888888888889,1,0.00829690593793469,1,2,224,NA,NA,1000,0.0642361111111111,0.434494949494949,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
37,699,0.00143061516452074,0.434535345906894,0.433876967095851,0.277281886474652,473,0.474964234620887,1,0.00843474851432649,1,2,226,NA,NA,1000,0.0662374821173104,0.433853557029523,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
38,717,0.00278940027894003,0.434940863617708,0.433546342081907,0.275008321461171,490,0.497907949790795,1,0.00891201003335976,1,2,227,NA,NA,1000,0.0719665271966527,0.433485482439457,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
39,706,0.00141643059490085,0.43430794251692,0.43186453772856,0.277913488188827,482,0.498583569405099,1,0.00986397928612715,1,2,223,NA,NA,1000,0.0736543909348442,0.431843935101725,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
40,718,0.00139275766016713,0.434502723089869,0.431673841478855,0.276317559594089,492,0.495821727019499,1,0.0105361035674152,1,2,226,NA,NA,1000,0.0746518105849582,0.431653583185617,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
41,721,0.00277392510402219,0.434703915585377,0.431702181313832,0.275990491473769,497,0.484049930651872,1,0.0111133429693214,1,2,224,NA,NA,1000,0.080374479889043,0.431647963686799,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
42,738,0.0013550135501355,0.434428168591861,0.43379773343188,0.271052511840848,516,0.505420054200542,1,0.0109162641007162,1,2,222,NA,NA,1000,0.0783875338753388,0.433764474008376,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
43,732,0,0.433970465878891,0.432786885245902,0.27262639340884,513,0.495901639344262,1,0.0110030358942425,1,2,219,NA,NA,1000,0.0729508196721311,0.432786885245902,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
44,724,0.00138121546961326,0.434451787185983,0.433329984932195,0.273729626353455,501,0.512430939226519,1,0.0111259290189422,1,2,223,NA,NA,1000,0.0737569060773481,0.433299849321949,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
45,722,0.00138504155124654,0.434613290539235,0.432722236212541,0.274757807173027,503,0.505540166204986,1,0.0113740668587108,1,2,219,NA,NA,1000,0.074584487534626,0.432686980609418,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
46,713,0,0.434143479172877,0.434259849547367,0.274341323714761,493,0.503506311360449,1,0.0122055964948474,1,2,220,NA,NA,1000,0.0739130434782609,0.434259849547367,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
47,712,0.00140449438202247,0.433955158037897,0.432740040858018,0.275866238698266,487,0.514044943820225,1,0.0126051072030532,1,2,225,NA,NA,1000,0.0760533707865169,0.432711950970378,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
48,746,0,0.433686812239001,0.431915671459907,0.271104492119743,528,0.497319034852547,1,0.0131638465673423,1,2,218,NA,NA,1000,0.0758713136729223,0.431915671459907,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
49,728,0.00137362637362637,0.432822740446367,0.43362012987013,0.271650325485918,515,0.490384615384615,1,0.0138258543259287,1,2,212,NA,NA,1000,0.0768543956043956,0.433591408591409,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
50,704,0.00284090909090909,0.432531921707715,0.430866477272727,0.278008036303241,485,0.481534090909091,1,0.0139754956071027,1,2,218,NA,NA,1000,0.0788352272727273,0.430798037190083,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
51,738,0.002710027100271,0.433119190116513,0.433410938654841,0.270523427222805,527,0.459349593495935,1,0.0137927626859254,1,2,211,NA,NA,1000,0.0772357723577236,0.433345651638335,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
52,736,0.00271739130434783,0.432819489831264,0.433575839920949,0.270459842593355,520,0.46875,1,0.0140734105642595,1,2,216,NA,NA,1000,0.0765625,0.433510375494071,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
53,707,0.00424328147100424,0.433742526606672,0.434704899061335,0.274705436360571,481,0.47949080622348,1,0.014403970801996,1,2,226,NA,NA,1000,0.0806223479490806,0.434602031631735,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
54,713,0.00280504908835905,0.433603078937472,0.436223383909218,0.272124464727193,487,0.481065918653576,1,0.0147961455552229,1,2,226,NA,NA,1000,0.0851332398316971,0.436159632793574,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
55,716,0,0.433626677892813,0.434687658710005,0.273078481669473,492,0.5,1,0.0145377726353036,1,2,224,NA,NA,1000,0.0827513966480447,0.434687658710005,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
56,710,0.00140845070422535,0.43366996988332,0.431460947503201,0.277221567656592,486,0.498591549295775,1,0.0149089974282655,1,2,224,NA,NA,1000,0.0823943661971831,0.431434058898848,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
57,713,0,0.434766737976119,0.433800841514726,0.275221976968999,486,0.483870967741935,1,0.0153643429132673,1,2,227,NA,NA,1000,0.0888499298737728,0.433800841514727,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
58,725,0.00137931034482759,0.434975297805643,0.43433855799373,0.272959892164392,499,0.484137931034483,1,0.0158334559087075,1,2,225,NA,NA,1000,0.093448275862069,0.434307210031348,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
59,723,0,0.434592972649308,0.435420596001509,0.271922595761272,506,0.479944674965422,1,0.016041038460759,1,2,217,NA,NA,1000,0.0928077455048409,0.435420596001509,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
60,728,0.00137362637362637,0.435875577032857,0.434654095904096,0.272823485184801,508,0.494505494505495,1,0.0159477433070021,1,2,220,NA,NA,1000,0.102129120879121,0.434615384615385,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
61,729,0.00137174211248285,0.435327303073582,0.434843496695349,0.272090183697693,506,0.488340192043896,1,0.0159652568995998,1,2,223,NA,NA,1000,0.101028806584362,0.434804838508542,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
62,731,0.00136798905608755,0.434838331118,0.433735853749534,0.272505430511765,510,0.488372093023256,1,0.0165278728921424,1,2,221,NA,NA,1000,0.104651162790698,0.433702275836339,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
63,704,0,0.436270061352484,0.435291838842975,0.27629129300978,485,0.487215909090909,1,0.0172164296030941,1,2,219,NA,NA,1000,0.114204545454545,0.435291838842975,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
64,718,0.00139275766016713,0.436287059380359,0.435400101291466,0.273976112428727,490,0.494428969359331,1,0.0171011739062941,1,2,228,NA,NA,1000,0.113857938718663,0.435363383134971,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
65,705,0.00141843971631206,0.434993557119406,0.434802063185042,0.275747327030068,489,0.509219858156028,1,0.0186865490153269,1,2,216,NA,NA,1000,0.119858156028369,0.434764667956157,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
66,718,0.00139275766016713,0.434045677090424,0.434475816662446,0.273292574389407,493,0.508356545961003,1,0.0196706401788382,1,2,225,NA,NA,1000,0.124233983286908,0.434439098505951,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
67,719,0.00139082058414465,0.433248947388505,0.434977873308889,0.272074085604513,499,0.503477051460362,1,0.020064173057471,1,2,220,NA,NA,1000,0.124895688456189,0.434947528132507,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
68,730,0.00273972602739726,0.433145098005766,0.435708592777086,0.269539930896539,507,0.502739726027397,1,0.0204645959390012,1,2,223,NA,NA,1000,0.126438356164384,0.435653798256538,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
69,722,0.00415512465373961,0.433053714917919,0.436291866028708,0.270218189927941,501,0.513850415512465,1,0.0204906640425921,1,2,220,NA,NA,1000,0.124861495844875,0.436212540921682,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
70,715,0.0027972027972028,0.433155495489888,0.43547743165925,0.272195837411383,490,0.507692307692308,1,0.0203808712551256,1,2,225,NA,NA,1000,0.124265734265734,0.435422759059123,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
71,726,0,0.433267213836335,0.434097170047583,0.271791320837814,496,0.515151515151515,1,0.020364725323948,1,2,230,NA,NA,1000,0.122314049586777,0.434097170047583,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
72,733,0.00136425648021828,0.433307722151901,0.431875232543718,0.272916853856109,512,0.507503410641201,1,0.0209198437857298,1,2,221,NA,NA,1000,0.125170532060027,0.431849187647278,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
73,747,0.00267737617135207,0.43373192579657,0.432705366922234,0.270264108312828,530,0.524765729585007,1,0.0214471020585602,1,2,217,NA,NA,1000,0.129718875502008,0.432639649507119,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
74,703,0.00284495021337127,0.434699829792291,0.433376438639597,0.27724943341601,486,0.52773826458037,1,0.0217912022450741,1,2,217,NA,NA,1000,0.134708392603129,0.433324712272081,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
75,698,0.00429799426934097,0.436010741440397,0.435896066684032,0.276604013297235,471,0.502865329512894,1,0.0224306127193717,1,2,227,NA,NA,1000,0.143839541547278,0.435803594686116,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
76,720,0.00277777777777778,0.436392290965208,0.436830808080808,0.27236856507367,506,0.501388888888889,1,0.0224331715542547,1,2,214,NA,NA,1000,0.145277777777778,0.436767676767677,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
77,687,0.00291120815138282,0.437168773989201,0.438202990604737,0.277012207643749,462,0.475982532751092,1,0.0228008683568972,1,2,225,NA,NA,1000,0.148617176128093,0.438136826783115,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
78,705,0,0.436922068123517,0.438504190844616,0.273504552448191,468,0.479432624113475,1,0.0235645986744321,1,2,237,NA,NA,1000,0.153829787234043,0.438504190844616,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
79,714,0.00140056022408964,0.437547478884602,0.438707664884135,0.272300951834473,490,0.507002801120448,1,0.0240672226015901,1,2,224,NA,NA,1000,0.159033613445378,0.438680926916221,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
80,731,0.00136798905608755,0.437220301018838,0.43948638229076,0.268571385133195,509,0.514363885088919,1,0.0244680695667726,1,2,222,NA,NA,1000,0.157934336525308,0.439460266136053,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
81,742,0.00269541778975741,0.43726804777382,0.439922813036021,0.266454983895829,520,0.502695417789757,1,0.0247067405988133,1,2,222,NA,NA,1000,0.155390835579515,0.439867679490321,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
82,732,0.00273224043715847,0.436947783396991,0.437868852459016,0.269836905133252,516,0.495901639344262,1,0.0245697524989874,1,2,216,NA,NA,1000,0.15068306010929,0.437804272230502,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
83,729,0.00274348422496571,0.43652564870367,0.436449682005238,0.271395857830362,514,0.484224965706447,1,0.0253005145586133,1,2,215,NA,NA,1000,0.153086419753086,0.436388577129318,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
84,724,0,0.435771520877096,0.434605725765947,0.273392070468397,509,0.50414364640884,1,0.0255624748636989,1,2,215,NA,NA,1000,0.148895027624309,0.434605725765947,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
85,713,0,0.435588215360389,0.434043095754176,0.275563273991522,488,0.490883590462833,1,0.0253725886619437,1,2,225,NA,NA,1000,0.146914446002805,0.434043095754176,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
86,732,0.00136612021857923,0.435950016830493,0.434459761549925,0.272432015911375,512,0.467213114754098,1,0.0256669633137178,1,2,220,NA,NA,1000,0.149043715846995,0.434426229508197,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
87,727,0.00137551581843191,0.435651264685055,0.435765912217081,0.271725937636867,506,0.469050894085282,1,0.0265586757588327,1,2,221,NA,NA,1000,0.149037138927098,0.435738401900713,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
88,716,0,0.435213086358104,0.437836465210767,0.271147615560544,488,0.473463687150838,1,0.0270757676093362,1,2,228,NA,NA,1000,0.15,0.437836465210767,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
89,726,0.00137741046831956,0.434780442220166,0.435288004007012,0.271731014203918,499,0.475206611570248,1,0.0273345825663799,1,2,227,NA,NA,1000,0.14931129476584,0.435261707988981,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
90,723,0.00276625172890733,0.435228309680368,0.432874387023765,0.274919024162713,505,0.491009681881051,1,0.0278283950342199,1,2,217,NA,NA,1000,0.152627939142462,0.432805230730542,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
91,732,0.00273224043715847,0.434734174925824,0.432445355191257,0.273573628434347,509,0.475409836065574,1,0.0279782364906887,1,2,223,NA,NA,1000,0.150136612021858,0.432377049180328,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
92,737,0.00407055630936228,0.434405991840142,0.431767608239793,0.273261999432916,517,0.51831750339213,1,0.0288028371033787,1,2,220,NA,NA,1000,0.152170963364993,0.431663994079191,_proj_,_group_,1000,100,a,0.45,9,2,1,250,1,10,0
