year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
21,719,0,0.422477974863938,0.419547351118978,0.266778493451568,495,0.502086230876217,0,0.00431666159433076,1,3,224,NA,NA,1000,0.0118915159944367,0.419547351118978,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
22,715,0,0.421481726156869,0.420508582326764,0.265718759100232,491,0.483916083916084,0,0.00494963789200109,1,3,224,NA,NA,1000,0.0118881118881119,0.420508582326764,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
23,701,0,0.420995184269984,0.418311503047594,0.269662283229437,475,0.485021398002853,0,0.00538145204615231,1,3,226,NA,NA,1000,0.0129101283880171,0.418311503047594,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
24,705,0,0.419628507803248,0.417034171502257,0.269320020123185,475,0.480851063829787,0,0.0058420297504206,1,3,230,NA,NA,1000,0.0135460992907801,0.417034171502257,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
25,707,0,0.41906749474705,0.415674424585316,0.269943665909441,479,0.486562942008487,0,0.00658111154457029,1,3,228,NA,NA,1000,0.0142149929278642,0.415674424585316,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
26,729,0,0.418846520378299,0.417146776406036,0.265014304675988,514,0.491083676268861,0,0.00666398487541663,1,3,215,NA,NA,1000,0.0150205761316872,0.417146776406036,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
27,703,0,0.418950410932143,0.413655761024182,0.272438854425666,479,0.5049786628734,0,0.00664287864360343,1,3,224,NA,NA,1000,0.014651493598862,0.413655761024182,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
28,724,0,0.418714160198795,0.414703666499247,0.268092897755244,497,0.49585635359116,0,0.00695123865147289,1,3,227,NA,NA,1000,0.0152624309392265,0.414703666499247,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
29,729,0,0.417984490196551,0.415425863574012,0.26609858813603,510,0.511659807956104,0,0.00702904071657979,1,3,219,NA,NA,1000,0.0145404663923182,0.415425863574012,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
30,749,0,0.417895049935902,0.417465711858235,0.2610237869706,527,0.511348464619493,0,0.00719017140607328,1,3,222,NA,NA,1000,0.0144192256341789,0.417465711858235,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
31,717,0,0.418306884959254,0.418828451882845,0.264768124174349,504,0.483960948396095,0,0.00761979477631292,1,3,213,NA,NA,1000,0.0151324965132497,0.418828451882845,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
32,713,0,0.417717212926402,0.418309320413107,0.265467027620109,488,0.482468443197756,0,0.00817374280409969,1,3,225,NA,NA,1000,0.0157082748948107,0.418309320413107,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
33,720,0,0.418406355218855,0.418989898989899,0.264221728756692,495,0.479166666666667,0,0.0085088998333147,1,3,225,NA,NA,1000,0.0170833333333333,0.418989898989899,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
34,737,0,0.418577367265069,0.419452325151104,0.261311852985292,516,0.476255088195387,0,0.00881888123271423,1,3,221,NA,NA,1000,0.0189280868385346,0.419452325151104,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
35,727,0,0.418176959069417,0.418769538576966,0.263207318516614,506,0.464924346629986,0,0.00882389410961266,1,3,221,NA,NA,1000,0.0200825309491059,0.418769538576966,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
36,737,0,0.417922874832695,0.420858517330702,0.259414202743715,521,0.468113975576662,0,0.00857783173029168,1,3,216,NA,NA,1000,0.0188602442333786,0.420858517330702,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
37,731,0,0.418587570438847,0.419997512747171,0.261678678918437,519,0.46374829001368,0,0.0084681132740745,1,3,212,NA,NA,1000,0.0189466484268126,0.419997512747171,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
38,705,0,0.418255895304333,0.421199226305609,0.264265272958529,482,0.476595744680851,0,0.00873262247583087,1,3,223,NA,NA,1000,0.0209219858156028,0.421199226305609,_proj_,_group_,1000,100,b,0.45,9,2,1,250,1,10,0
