year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
12,707,0,0.160234559018642,0.160551626591231,-0.000466989271315413,485,0.499292786421499,0,0.0020051081226565,3,1,222,0.365446690074769,NA,1000,0,0.160551626591231,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
13,713,0,0.160004633355979,0.160647711334948,-0.0013168891384061,481,0.496493688639551,0,0.00229525406239031,3,1,232,0.365607763932242,NA,1000,0,0.160647711334948,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
14,739,0,0.159233577274167,0.159752737114036,-0.00103286879982555,511,0.504736129905277,0,0.00251756699825168,3,1,228,0.365826990540706,NA,1000,0,0.159752737114036,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
15,724,0,0.159104636263739,0.159618282270216,-0.000999695641255257,496,0.511049723756906,0,0.00273803541061856,3,1,228,0.365884700078693,NA,1000,0,0.159618282270216,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
16,723,0,0.158785661403901,0.159348673456557,-0.00112898428009557,490,0.508990318118949,0,0.00304056268423276,3,1,233,0.366082986368073,NA,1000,0,0.159348673456557,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
17,726,0,0.158781008120961,0.15912221387428,-0.000551006293750112,495,0.504132231404959,0,0.00331029640500801,3,1,231,0.366172794398711,NA,1000,0,0.15912221387428,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
18,742,0,0.158324558584883,0.15870987503063,-0.000684378787595648,509,0.497304582210243,0,0.00356998778511051,3,1,233,0.366304182719091,NA,1000,0,0.15870987503063,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
19,719,0,0.158003344194595,0.158223542799343,-0.000230373664877672,488,0.503477051460362,0,0.00372545118482548,3,1,231,0.36642531588113,NA,1000,0,0.158223542799343,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
20,724,0,0.157993049177098,0.158415369161226,-0.000764496466553236,487,0.527624309392265,0,0.00394509633535345,3,1,237,0.366525676200578,NA,1000,0,0.158415369161226,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
21,719,0,0.158246059883891,0.158858262738652,-0.00125436517401667,483,0.535465924895688,0,0.00423224100847073,3,1,236,0.366648637644011,NA,1000,0,0.158858262738652,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
22,715,0,0.158168715962994,0.158670057215512,-0.000959840496117656,479,0.53006993006993,0,0.00451110713989766,3,1,236,0.366816404385032,NA,1000,0,0.158670057215512,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
23,708,0,0.157915982940581,0.158179250128403,-0.000334747723316156,470,0.505649717514124,0,0.00477403045439539,3,1,238,0.366973208923636,NA,1000,0,0.158179250128403,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
24,715,0,0.158468283401278,0.1586090273363,-1.98377468135722e-05,476,0.514685314685315,0,0.00505193580700475,3,1,239,0.367013433724441,NA,1000,0,0.1586090273363,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
25,725,0,0.158281617987245,0.158372413793103,0.000106011348883137,492,0.506206896551724,0,0.00532300211136336,3,1,233,0.367144229990452,NA,1000,0,0.158372413793103,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
26,747,0,0.158007833532825,0.158431300961421,-0.000792432975370185,536,0.518072289156627,0,0.00550193958227357,3,1,211,0.367290012856435,NA,1000,0,0.158431300961421,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
27,711,0,0.158499349276201,0.158922132719601,-0.000749564979662528,486,0.530239099859353,0,0.00589089824797107,3,1,225,0.367315210995182,NA,1000,0,0.158922132719601,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
28,720,0,0.158472615916105,0.158617424242424,-3.29721359749497e-05,483,0.538888888888889,0,0.00625623659747456,3,1,237,0.367493531787183,NA,1000,0,0.158617424242424,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
29,722,0,0.158440971105613,0.158518005540166,0.000143426688636255,490,0.522160664819945,0,0.00650397822765572,3,1,232,0.367634931721176,NA,1000,0,0.158518005540166,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
30,733,0,0.158019855236195,0.158204142378767,-0.000144706903991353,504,0.506139154160982,0,0.00669858690030936,3,1,229,0.367824316370536,NA,1000,0,0.158204142378767,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
31,729,0,0.157664073203371,0.157957351290685,-0.000430631799285822,500,0.50480109739369,0,0.00690371035894545,3,1,229,0.367971807883378,NA,1000,0,0.157957351290685,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
32,720,0,0.157424306432379,0.157450757575758,0.000275585027425947,488,0.513888888888889,0,0.00727280646284566,3,1,232,0.368100200043638,NA,1000,0,0.157450757575758,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
33,723,0,0.157739349209107,0.157931598139067,-0.000160240794160083,487,0.515905947441217,0,0.00760904895593984,3,1,236,0.36818447529714,NA,1000,0,0.157931598139067,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
34,714,0,0.157289423790907,0.157361853832442,0.000157064661795457,475,0.533613445378151,0,0.00790788747445257,3,1,239,0.368372266625874,NA,1000,0,0.157361853832442,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
35,706,0,0.157268990128394,0.157592067988669,-0.000489776196636505,470,0.514164305949009,0,0.00816247986804995,3,1,236,0.368491702649009,NA,1000,0,0.157592067988669,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
36,716,0,0.157329795489302,0.157613001523616,-0.000394440193567467,484,0.488826815642458,0,0.00828991418950033,3,1,232,0.368508914305332,NA,1000,0,0.157613001523616,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
