YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
95,60,1.816666667,1.589069301,1.956521739,1.72972973,0.181666667,1.589069301,1,a,red,0.5
96,55,1.890909091,1.369951706,2,1.76,0.189090909,1.369951706,1,a,red,0.5
97,40,2,1.414213562,1.9,2.1,0.2,1.414213562,1,a,red,0.5
98,41,2.195121951,1.676596436,2.1875,2.2,0.219512195,1.676596436,1,a,red,0.5
99,45,1.933333333,1.498484082,2.3125,1.724137931,0.193333333,1.498484082,1,a,red,0.5
100,51,2,1.483239697,2.259259259,1.708333333,0.2,1.483239697,1,a,red,0.5
101,50,1.74,1.382248981,2.125,1.384615385,0.174,1.382248981,1,a,red,0.5
102,59,1.661016949,1.593198577,1.727272727,1.576923077,0.166101695,1.593198577,1,a,red,0.5
103,62,1.758064516,1.410563007,2.12,1.513513514,0.175806452,1.410563007,1,a,red,0.5
104,55,1.963636364,1.677339564,2.043478261,1.90625,0.196363636,1.677339564,1,a,red,0.5
105,48,2.083333333,1.31817626,1.92,2.260869565,0.208333333,1.31817626,1,a,red,0.5
106,35,2.228571429,1.496775245,2.466666667,2.05,0.222857143,1.496775245,1,a,red,0.5
107,35,1.257142857,1.066684174,1.176470588,1.333333333,0.125714286,1.066684174,1,a,red,0.5
108,38,1.473684211,1.37027995,1.238095238,1.764705882,0.147368421,1.37027995,1,a,red,0.5
109,43,1.604651163,1.54518507,1.705882353,1.538461538,0.160465116,1.54518507,1,a,red,0.5
110,41,1.634146341,1.337088209,1.916666667,1.235294118,0.163414634,1.337088209,1,a,red,0.5
111,49,1.918367347,1.754004165,1.72,2.125,0.191836735,1.754004165,1,a,red,0.5
112,56,1.892857143,1.460741672,2.125,1.71875,0.189285714,1.460741672,1,a,red,0.5
113,49,1.632653061,1.253227127,1.545454545,1.703703704,0.163265306,1.253227127,1,a,red,0.5
114,43,2.11627907,1.434428745,1.84,2.5,0.211627907,1.434428745,1,a,red,0.5
115,31,1.806451613,1.424063548,2,1.538461538,0.180645161,1.424063548,1,a,red,0.5
116,29,2.413793103,1.323341047,2.421052632,2.4,0.24137931,1.323341047,1,a,red,0.5
117,32,1.875,1.211503997,1.526315789,2.384615385,0.1875,1.211503997,1,a,red,0.5
118,34,1.735294118,1.5822658,1.368421053,2.2,0.173529412,1.5822658,1,a,red,0.5
119,32,1.21875,1.039055868,1.214285714,1.222222222,0.121875,1.039055868,1,a,red,0.5
120,41,1.731707317,1.342095195,1.85,1.619047619,0.173170732,1.342095195,1,a,red,0.5
121,46,1.717391304,1.833794408,1.65,1.769230769,0.17173913,1.833794408,1,a,red,0.5
122,44,2.022727273,1.606507643,1.608695652,2.476190476,0.202272727,1.606507643,1,a,red,0.5
123,41,1.536585366,1.051131794,1.555555556,1.5,0.153658537,1.051131794,1,a,red,0.5
124,25,2.16,1.280624847,1.714285714,2.727272727,0.216,1.280624847,1,a,red,0.5
125,20,1.6,1.635140425,1.846153846,1.142857143,0.16,1.635140425,1,a,red,0.5
126,22,1.318181818,1.041352767,1.125,1.428571429,0.131818182,1.041352767,1,a,red,0.5
127,28,1.571428571,1.372442306,1.5625,1.583333333,0.157142857,1.372442306,1,a,red,0.5
128,26,1.846153846,1.255143265,1.727272727,1.933333333,0.184615385,1.255143265,1,a,red,0.5
129,31,1.774193548,1.3591585,1.8,1.75,0.177419355,1.3591585,1,a,red,0.5
130,37,2.027027027,0.957034961,2.041666667,2,0.202702703,0.957034961,1,a,red,0.5
131,35,1.685714286,1.157365888,1.466666667,1.85,0.168571429,1.157365888,1,a,red,0.5
132,36,1.75,1.130739328,1.8,1.714285714,0.175,1.130739328,1,a,red,0.5
133,20,1.25,1.069923755,1.111111111,1.363636364,0.125,1.069923755,1,a,red,0.5
134,13,1.692307692,1.652503928,1.5,1.857142857,0.169230769,1.652503928,1,a,red,0.5
135,12,1.5,1.930614598,2,1.142857143,0.15,1.930614598,1,a,red,0.5
136,20,1.6,1.353358396,1.769230769,1.285714286,0.16,1.353358396,1,a,red,0.5
137,20,1.45,1.431782106,0.857142857,1.769230769,0.145,1.431782106,1,a,red,0.5
138,21,1.904761905,1.374945886,2.428571429,0.857142857,0.19047619,1.374945886,1,a,red,0.5
139,27,1.555555556,1.250640861,1.266666667,1.916666667,0.155555556,1.250640861,1,a,red,0.5
140,27,1.074074074,1.174273128,0.833333333,1.266666667,0.107407407,1.174273128,1,a,red,0.5
141,29,1,1.069044968,0.894736842,1.2,0.1,1.069044968,1,a,red,0.5
142,15,1.533333333,1.35576371,1.875,1.142857143,0.153333333,1.35576371,1,a,red,0.5
143,4,1.5,1.290994449,0.5,2.5,0.15,1.290994449,1,a,red,0.5
144,NA,NA,NA,NA,NA,NA,NA,1,a,red,0.5
145,8,0.625,0.916125381,0.6,0.666666667,0.0625,0.916125381,1,a,red,0.5
146,10,1.2,1.135292424,1.2,1.2,0.12,1.135292424,1,a,red,0.5
147,4,1.25,0.957427108,2,0.5,0.125,0.957427108,1,a,red,0.5
148,9,1,0.707106781,0.75,1.2,0.1,0.707106781,1,a,red,0.5
149,15,1.2,2.111194652,1.75,0.571428571,0.12,2.111194652,1,a,red,0.5
150,13,0.615384615,1.043907845,1,0.285714286,0.061538462,1.043907845,1,a,red,0.5
151,18,0.611111111,1.036900863,0.363636364,1,0.061111111,1.036900863,1,a,red,0.5
152,17,0.470588235,0.514495755,0.5,0.333333333,0.047058824,0.514495755,1,a,red,0.5
153,14,0.642857143,1.150728389,0.5,0.833333333,0.064285714,1.150728389,1,a,red,0.5
154,19,0.894736842,1.242521488,1.230769231,0.166666667,0.089473684,1.242521488,1,a,red,0.5
155,19,0.421052632,0.837707817,0.5,0.363636364,0.042105263,0.837707817,1,a,red,0.5
156,21,0.523809524,0.980767435,0.111111111,0.833333333,0.052380952,0.980767435,1,a,red,0.5
157,15,0.8,1.373213125,0.375,1.285714286,0.08,1.373213125,1,a,red,0.5
158,17,0.764705882,1.032558217,0.375,1.111111111,0.076470588,1.032558217,1,a,red,0.5
159,15,0.333333333,0.487950036,0.25,0.428571429,0.033333333,0.487950036,1,a,red,0.5
160,17,0.588235294,0.939336437,0.5,0.8,0.058823529,0.939336437,1,a,red,0.5
161,18,0.611111111,0.697802339,0.692307692,0.4,0.061111111,0.697802339,1,a,red,0.5
162,15,0.4,0.736788398,0.6,0.3,0.04,0.736788398,1,a,red,0.5
163,22,0.818181818,1.562548701,0.714285714,1,0.081818182,1.562548701,1,a,red,0.5
164,18,1.055555556,1.349170648,1.375,0.8,0.105555556,1.349170648,1,a,red,0.5
165,18,1.055555556,1.474178624,2,0.583333333,0.105555556,1.474178624,1,a,red,0.5
166,18,0.611111111,1.243282604,0.636363636,0.571428571,0.061111111,1.243282604,1,a,red,0.5
167,14,0.5,1.091928428,0.75,0.166666667,0.05,1.091928428,1,a,red,0.5
168,18,0.666666667,1.188177052,0.7,0.625,0.066666667,1.188177052,1,a,red,0.5
169,14,1.214285714,1.968153036,1.25,1.166666667,0.121428571,1.968153036,1,a,red,0.5
170,19,1.315789474,1.887168119,1.909090909,0.5,0.131578947,1.887168119,1,a,red,0.5
171,21,1.714285714,2.305273458,2,1.5,0.171428571,2.305273458,1,a,red,0.5
172,24,1.708333333,1.680558051,2.75,1.5,0.170833333,1.680558051,1,a,red,0.5
173,24,1.958333333,2.01038968,1.75,2.166666667,0.195833333,2.01038968,1,a,red,0.5
174,29,1.896551724,1.877399942,1.625,2.230769231,0.189655172,1.877399942,1,a,red,0.5
175,27,2.296296296,1.85668884,2.642857143,1.923076923,0.22962963,1.85668884,1,a,red,0.5
176,20,1.95,2.064104241,2.142857143,1.846153846,0.195,2.064104241,1,a,red,0.5
177,15,2.466666667,1.641718032,2.875,2,0.246666667,1.641718032,1,a,red,0.5
178,16,1.8125,1.376892637,2.2,1.166666667,0.18125,1.376892637,1,a,red,0.5
179,15,1.466666667,1.597617273,0.333333333,2.222222222,0.146666667,1.597617273,1,a,red,0.5
180,16,2.125,1.310216267,2.444444444,1.714285714,0.2125,1.310216267,1,a,red,0.5
181,16,2.1875,1.641899307,2.666666667,1.9,0.21875,1.641899307,1,a,red,0.5
182,21,2.428571429,1.690308509,2.25,2.538461538,0.242857143,1.690308509,1,a,red,0.5
183,26,2.461538462,1.420725708,2.166666667,2.714285714,0.246153846,1.420725708,1,a,red,0.5
184,28,2.071428571,1.48893627,2.4375,1.583333333,0.207142857,1.48893627,1,a,red,0.5
185,26,1.846153846,1.255143265,1.866666667,1.818181818,0.184615385,1.255143265,1,a,red,0.5
186,21,2.619047619,2.01186954,2.1,3.090909091,0.261904762,2.01186954,1,a,red,0.5
187,22,2.318181818,1.35879371,2.25,2.4,0.231818182,1.35879371,1,a,red,0.5
188,19,2.105263158,1.448935887,2.181818182,2,0.210526316,1.448935887,1,a,red,0.5
189,20,2.25,1.551739262,1.888888889,2.545454545,0.225,1.551739262,1,a,red,0.5
190,22,2.5,1.371478174,2.5,2.5,0.25,1.371478174,1,a,red,0.5
191,25,1.76,1.331665624,2.076923077,1.416666667,0.176,1.331665624,1,a,red,0.5
192,27,2.518518519,1.948774178,2.583333333,2.466666667,0.251851852,1.948774178,1,a,red,0.5
193,33,2.303030303,1.334279967,2,2.909090909,0.23030303,1.334279967,1,a,red,0.5
194,33,1.727272727,1.206045378,1.8,1.615384615,0.172727273,1.206045378,1,a,red,0.5
195,29,2.413793103,2.113177049,2.555555556,2.35,0.24137931,2.113177049,1,a,red,0.5
196,27,1.62962963,1.305260014,1.666666667,1.583333333,0.162962963,1.305260014,1,a,red,0.5
197,24,2.541666667,1.350657382,2.692307692,2.363636364,0.254166667,1.350657382,1,a,red,0.5
198,27,2.592592593,1.80297317,2.6,2.583333333,0.259259259,1.80297317,1,a,red,0.5
199,25,2.36,1.753092506,1.714285714,2.611111111,0.236,1.753092506,1,a,red,0.5
200,28,2.321428571,1.925531604,2.857142857,1.785714286,0.232142857,1.925531604,1,a,red,0.5
201,33,2.242424242,1.458387445,2.3125,2.176470588,0.224242424,1.458387445,1,a,red,0.5
202,38,1.921052632,1.513570665,1.95,1.888888889,0.192105263,1.513570665,1,a,red,0.5
203,39,2.128205128,1.82352301,2,2.238095238,0.212820513,1.82352301,1,a,red,0.5
204,35,1.914285714,1.379928143,1.833333333,2,0.191428571,1.379928143,1,a,red,0.5
205,34,2.205882353,1.472565516,1.764705882,2.647058824,0.220588235,1.472565516,1,a,red,0.5
206,30,1.666666667,1.241059984,1.411764706,2,0.166666667,1.241059984,1,a,red,0.5
207,31,2,1.238278375,1.947368421,2.083333333,0.2,1.238278375,1,a,red,0.5
208,33,2.272727273,1.644550229,2.052631579,2.571428571,0.227272727,1.644550229,1,a,red,0.5
209,30,2.5,1.655711119,2.666666667,2.25,0.25,1.655711119,1,a,red,0.5
210,39,2.333333333,1.492672159,2.037037037,3,0.233333333,1.492672159,1,a,red,0.5
211,41,2.073170732,1.367301062,1.888888889,2.428571429,0.207317073,1.367301062,1,a,red,0.5
212,45,1.977777778,1.422048601,1.5,2.631578947,0.197777778,1.422048601,1,a,red,0.5
213,41,2.170731707,1.412487859,1.642857143,2.444444444,0.217073171,1.412487859,1,a,red,0.5
214,42,2.857142857,1.539265402,2.625,3.166666667,0.285714286,1.539265402,1,a,red,0.5
215,38,1.842105263,1.480071506,1.7,2,0.184210526,1.480071506,1,a,red,0.5
216,35,1.8,1.491150365,1.947368421,1.625,0.18,1.491150365,1,a,red,0.5
217,39,2.307692308,1.608429213,2.555555556,2.095238095,0.230769231,1.608429213,1,a,red,0.5
218,37,1.702702703,1.24420579,1.666666667,1.75,0.17027027,1.24420579,1,a,red,0.5
219,42,2.214285714,1.473931432,2.47826087,1.894736842,0.221428571,1.473931432,1,a,red,0.5
220,46,2.065217391,1.526101408,1.9375,2.133333333,0.206521739,1.526101408,1,a,red,0.5
221,50,2.34,1.673442011,2.35,2.333333333,0.234,1.673442011,1,a,red,0.5
222,50,1.92,1.651715249,2.153846154,1.666666667,0.192,1.651715249,1,a,red,0.5
223,46,2.152173913,1.475238456,1.833333333,2.5,0.215217391,1.475238456,1,a,red,0.5
224,45,2.044444444,1.783198805,1.769230769,2.421052632,0.204444444,1.783198805,1,a,red,0.5
225,42,2.166666667,1.512817863,2.8,1.590909091,0.216666667,1.512817863,1,a,red,0.5
226,43,2.209302326,1.440207319,2.266666667,2.178571429,0.220930233,1.440207319,1,a,red,0.5
227,46,2.043478261,1.444630237,1.739130435,2.347826087,0.204347826,1.444630237,1,a,red,0.5
228,46,1.956521739,1.548569544,1.965517241,1.941176471,0.195652174,1.548569544,1,a,red,0.5
229,49,2.265306122,1.741353762,2.032258065,2.666666667,0.226530612,1.741353762,1,a,red,0.5
230,58,2.172413793,1.464646907,2.193548387,2.148148148,0.217241379,1.464646907,1,a,red,0.5
231,54,2.12962963,1.637373602,1.772727273,2.375,0.212962963,1.637373602,1,a,red,0.5
232,53,1.886792453,1.409587738,1.777777778,2,0.188679245,1.409587738,1,a,red,0.5
233,53,2,1.427747015,2.034482759,1.958333333,0.2,1.427747015,1,a,red,0.5
234,51,2.078431373,1.58547327,2.043478261,2.107142857,0.207843137,1.58547327,1,a,red,0.5
235,49,1.857142857,1.414213562,2.0625,1.470588235,0.185714286,1.414213562,1,a,red,0.5
236,50,2.3,1.669045921,2.6,2.1,0.23,1.669045921,1,a,red,0.5
237,51,2.058823529,1.332843047,1.964285714,2.173913043,0.205882353,1.332843047,1,a,red,0.5
238,58,2.413793103,1.533651562,2.413793103,2.413793103,0.24137931,1.533651562,1,a,red,0.5
239,61,1.885245902,1.506633783,1.714285714,2.115384615,0.18852459,1.506633783,1,a,red,0.5
240,61,1.885245902,1.427099163,1.777777778,2.04,0.18852459,1.427099163,1,a,red,0.5
241,56,1.714285714,1.344541635,1.565217391,1.818181818,0.171428571,1.344541635,1,a,red,0.5
242,55,1.781818182,1.315025828,1.821428571,1.740740741,0.178181818,1.315025828,1,a,red,0.5
243,50,1.52,1.265556262,1.5,1.538461538,0.152,1.265556262,1,a,red,0.5
244,49,1.183673469,1.236147736,1.2,1.166666667,0.118367347,1.236147736,1,a,red,0.5
