YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
89,42,2.119047619,1.684974936,1.965517241,2.461538462,0.211904762,1.684974936,1,c,purple,1
90,49,2.489795918,1.569533489,2.458333333,2.52,0.248979592,1.569533489,1,c,purple,1
91,54,1.666666667,1.303116728,1.64,1.689655172,0.166666667,1.303116728,1,c,purple,1
92,61,2.016393443,1.466194658,2.103448276,1.9375,0.201639344,1.466194658,1,c,purple,1
93,66,1.696969697,1.27665063,1.694444444,1.7,0.16969697,1.27665063,1,c,purple,1
94,68,2.191176471,1.789332844,1.931034483,2.384615385,0.219117647,1.789332844,1,c,purple,1
95,61,1.704918033,1.320912088,1.657894737,1.782608696,0.170491803,1.320912088,1,c,purple,1
96,46,1.804347826,1.408222918,1.8,1.807692308,0.180434783,1.408222918,1,c,purple,1
97,44,1.954545455,1.380167591,1.772727273,2.136363636,0.195454545,1.380167591,1,c,purple,1
98,44,1.863636364,0.954570623,1.807692308,1.944444444,0.186363636,0.954570623,1,c,purple,1
99,46,2.195652174,1.392353167,2.136363636,2.25,0.219565217,1.392353167,1,c,purple,1
100,48,1.708333333,1.501181568,2,1.5,0.170833333,1.501181568,1,c,purple,1
101,53,1.773584906,1.203224984,1.827586207,1.708333333,0.177358491,1.203224984,1,c,purple,1
102,59,1.728813559,1.323924527,2.068965517,1.4,0.172881356,1.323924527,1,c,purple,1
103,59,1.745762712,1.372051325,1.689655172,1.8,0.174576271,1.372051325,1,c,purple,1
104,54,1.814814815,1.530495962,1.666666667,1.933333333,0.181481481,1.530495962,1,c,purple,1
105,41,2.219512195,1.387663416,2.130434783,2.333333333,0.22195122,1.387663416,1,c,purple,1
106,39,1.846153846,1.531055046,1.857142857,1.833333333,0.184615385,1.531055046,1,c,purple,1
107,38,1.657894737,1.236304777,1.473684211,1.842105263,0.165789474,1.236304777,1,c,purple,1
108,40,1.4,1.127738831,1.608695652,1.117647059,0.14,1.127738831,1,c,purple,1
109,39,2.102564103,1.428928045,1.461538462,2.423076923,0.21025641,1.428928045,1,c,purple,1
110,43,2.093023256,1.477029733,2.083333333,2.105263158,0.209302326,1.477029733,1,c,purple,1
111,53,1.735849057,1.388842121,1.878787879,1.5,0.173584906,1.388842121,1,c,purple,1
