YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
87,52,2.230769231,1.591834367,1.958333333,2.464285714,0.223076923,1.591834367,1,b,blue,0
88,44,2.022727273,1.51716744,2.181818182,1.863636364,0.202272727,1.51716744,1,b,blue,0
89,41,2.219512195,1.635729121,1.952380952,2.5,0.22195122,1.635729121,1,b,blue,0
90,45,1.977777778,1.437941851,2.115384615,1.789473684,0.197777778,1.437941851,1,b,blue,0
91,49,2.020408163,1.534190828,1.862068966,2.25,0.202040816,1.534190828,1,b,blue,0
92,61,2.229508197,1.626790733,2.1,2.35483871,0.22295082,1.626790733,1,b,blue,0
93,67,1.701492537,1.403620053,1.771428571,1.625,0.170149254,1.403620053,1,b,blue,0
94,65,1.892307692,1.501281504,1.921052632,1.851851852,0.189230769,1.501281504,1,b,blue,0
95,64,2.078125,1.43984884,1.903225806,2.242424242,0.2078125,1.43984884,1,b,blue,0
96,56,1.625,1.57898126,1.59375,1.666666667,0.1625,1.57898126,1,b,blue,0
97,49,1.775510204,1.403348765,1.709677419,1.888888889,0.17755102,1.403348765,1,b,blue,0
98,39,2.307692308,1.734386683,2.266666667,2.333333333,0.230769231,1.734386683,1,b,blue,0
99,47,2,1.655031853,1.619047619,2.307692308,0.2,1.655031853,1,b,blue,0
100,41,2.024390244,1.724642063,1.857142857,2.2,0.202439024,1.724642063,1,b,blue,0
101,50,2.16,1.543386153,1.925925926,2.434782609,0.216,1.543386153,1,b,blue,0
102,58,1.620689655,1.254152208,1.5,1.71875,0.162068966,1.254152208,1,b,blue,0
103,58,1.672413793,1.316400342,1.828571429,1.434782609,0.167241379,1.316400342,1,b,blue,0
104,60,2.1,1.457883304,1.827586207,2.35483871,0.21,1.457883304,1,b,blue,0
105,52,1.403846154,1.317448743,1.451612903,1.333333333,0.140384615,1.317448743,1,b,blue,0
106,44,1.840909091,1.461811266,2.045454545,1.636363636,0.184090909,1.461811266,1,b,blue,0
107,35,1.885714286,1.430167176,1.421052632,2.4375,0.188571429,1.430167176,1,b,blue,0
