YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
245,43,0.860465116,0.989983053,0.818181818,0.904761905,0.061461794,0.989983053,1,d,springgreen,5
246,53,0.754716981,0.998184128,0.53125,1.095238095,0.053908356,0.998184128,1,d,springgreen,5
247,50,0.48,0.614119579,0.434782609,0.518518519,0.034285714,0.614119579,1,d,springgreen,5
248,57,0.333333333,0.545544726,0.323529412,0.347826087,0.023809524,0.545544726,1,d,springgreen,5
249,55,0,0,0,0,0,0,1,d,springgreen,5
250,56,0,0,0,0,0,0,1,d,springgreen,5
-1,1209,0.993382961,1.23817154,0.93537415,1.048309179,0.090307542,1.23817154,2,d,springgreen,5
0,467,0.800856531,1.098652762,0.840517241,0.761702128,0.072805139,1.098652762,2,d,springgreen,5
1,23,1.434782609,1.532261755,2.111111111,1,0.130434783,1.532261755,2,d,springgreen,5
2,24,1.75,1.77543626,2.076923077,1.363636364,0.159090909,1.77543626,2,d,springgreen,5
3,30,1.433333333,1.75545128,1.6875,1.142857143,0.13030303,1.75545128,2,d,springgreen,5
4,31,2.290322581,2.100691131,3.090909091,1.85,0.208211144,2.100691131,2,d,springgreen,5
5,28,2.678571429,2.465368599,2.923076923,2.466666667,0.243506494,2.465368599,2,d,springgreen,5
6,23,2.565217391,1.590485545,2.777777778,2.428571429,0.233201581,1.590485545,2,d,springgreen,5
7,28,1.714285714,1.652319197,1.75,1.666666667,0.155844156,1.652319197,2,d,springgreen,5
8,57,2.315789474,1.891313742,2.208333333,2.393939394,0.210526316,1.891313742,2,d,springgreen,5
9,93,1.946236559,1.728064961,2.210526316,1.763636364,0.176930596,1.728064961,2,d,springgreen,5
10,115,1.6,1.349463831,1.6,1.6,0.145454545,1.349463831,2,d,springgreen,5
11,69,1.797101449,1.539477663,1.459459459,2.1875,0.163372859,1.539477663,2,d,springgreen,5
12,33,2.242424242,1.732597455,2.333333333,2.166666667,0.203856749,1.732597455,2,d,springgreen,5
13,30,2.2,1.494818637,2.533333333,1.866666667,0.2,1.494818637,2,d,springgreen,5
14,29,1.862068966,1.55205251,1.933333333,1.785714286,0.169278997,1.55205251,2,d,springgreen,5
15,23,2.260869565,1.763709709,2.272727273,2.25,0.205533597,1.763709709,2,d,springgreen,5
16,29,1.620689655,1.320546237,1.722222222,1.454545455,0.147335423,1.320546237,2,d,springgreen,5
17,51,1.725490196,1.386772243,2.129032258,1.1,0.156862745,1.386772243,2,d,springgreen,5
18,80,2.05,1.820418647,1.625,2.475,0.186363636,1.820418647,2,d,springgreen,5
19,99,1.737373737,1.102741099,1.666666667,1.8125,0.157943067,1.102741099,2,d,springgreen,5
20,82,1.780487805,1.36104889,1.743589744,1.813953488,0.161862528,1.36104889,2,d,springgreen,5
21,50,2,1.525296893,1.888888889,2.130434783,0.181818182,1.525296893,2,d,springgreen,5
22,32,2.15625,1.439295863,2.142857143,2.166666667,0.196022727,1.439295863,2,d,springgreen,5
23,31,1.838709677,1.319009077,1.875,1.8,0.167155425,1.319009077,2,d,springgreen,5
24,22,1.863636364,0.888843794,1.909090909,1.818181818,0.169421488,0.888843794,2,d,springgreen,5
25,27,2.111111111,1.423250163,2.357142857,1.846153846,0.191919192,1.423250163,2,d,springgreen,5
26,47,2.191489362,1.312784923,2.269230769,2.095238095,0.199226306,1.312784923,2,d,springgreen,5
27,68,1.852941176,1.448258923,1.756097561,2,0.168449198,1.448258923,2,d,springgreen,5
28,88,2.079545455,1.547869065,1.914893617,2.268292683,0.189049587,1.547869065,2,d,springgreen,5
29,87,1.632183908,1.321687985,1.591836735,1.684210526,0.148380355,1.321687985,2,d,springgreen,5
