YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
41,93,1.12903225806452,1.17237965407795,1.125,1.13333333333333,0.102639296187683,1.17237965407795,1,1
42,84,1.21428571428571,1.73602112981581,1.51351351351351,0.978723404255319,0.11038961038961,1.73602112981581,1,1
43,83,1.12048192771084,1.0976425998969,1.325,0.930232558139535,0.101861993428258,1.0976425998969,1,1
44,72,1.26388888888889,1.45343745589023,1.14814814814815,1.33333333333333,0.11489898989899,1.45343745589023,1,1
45,87,1.48275862068966,1.45364072978542,1.21428571428571,1.73333333333333,0.134796238244514,1.45364072978542,1,1
46,93,1.40860215053763,1.7460300257627,1.51219512195122,1.32692307692308,0.128054740957967,1.7460300257627,1,1
47,99,1.54545454545455,1.78012111072005,1.40425531914894,1.67307692307692,0.140495867768595,1.78012111072005,1,1
48,85,1.31764705882353,1.61990420576476,1.43243243243243,1.22916666666667,0.119786096256684,1.61990420576476,1,1
49,88,1.32954545454545,1.70004456269579,1.37837837837838,1.29411764705882,0.120867768595041,1.70004456269579,1,1
50,84,1.33333333333333,1.40852253903581,1.63888888888889,1.10416666666667,0.121212121212121,1.40852253903581,1,1
51,95,1.30526315789474,1.27223780236082,1.43478260869565,1.18367346938776,0.11866028708134,1.27223780236082,1,1
52,99,1.39393939393939,1.5038602153491,1.39655172413793,1.39024390243902,0.126721763085399,1.5038602153491,1,1
53,88,1.17045454545455,1.37482781291023,1.14634146341463,1.19148936170213,0.106404958677686,1.37482781291023,1,1
54,83,1.27710843373494,1.66244936113634,1.43589743589744,1.13636363636364,0.116100766703176,1.66244936113634,1,1
55,80,1.375,1.70163733511379,1.5,1.22222222222222,0.125,1.70163733511379,1,1
56,98,1.57142857142857,1.61181206855201,1.71794871794872,1.47457627118644,0.142857142857143,1.61181206855201,1,1
57,96,1.21875,1.55057289921805,1.02631578947368,1.3448275862069,0.110795454545455,1.55057289921805,1,1
58,88,1.47727272727273,1.68820977565111,1.62790697674419,1.33333333333333,0.134297520661157,1.68820977565111,1,1
59,90,1.16666666666667,1.48588867972649,1.17948717948718,1.15686274509804,0.106060606060606,1.48588867972649,1,1
60,86,1.31395348837209,1.5812253469418,1.35714285714286,1.27272727272727,0.119450317124736,1.5812253469418,1,1
61,82,1.17073170731707,1.54604136504785,1.26190476190476,1.075,0.106430155210643,1.54604136504785,1,1
62,82,1.20731707317073,1.39432540331237,1.17391304347826,1.25,0.109756097560976,1.39432540331237,1,1
63,98,1.40816326530612,1.57844197417996,1.33333333333333,1.51219512195122,0.128014842300557,1.57844197417996,1,1
64,87,1.24137931034483,1.47825728038418,1.47727272727273,1,0.112852664576803,1.47825728038418,1,1
65,94,1.59574468085106,1.71845860500681,1.54166666666667,1.65217391304348,0.145067698259188,1.71845860500681,1,1
66,93,1.24731182795699,1.44203896994389,1.1551724137931,1.4,0.113391984359726,1.44203896994389,1,1
67,85,1.43529411764706,1.34913604474378,1.41025641025641,1.45652173913043,0.13048128342246,1.34913604474378,1,1
68,91,1.62637362637363,1.69081408169327,1.4,1.84782608695652,0.147852147852148,1.69081408169327,1,1
69,95,1.21052631578947,1.4578820023619,1.38636363636364,1.05882352941176,0.110047846889952,1.4578820023619,1,1
70,96,1.34375,1.45694796352548,1.63157894736842,1.1551724137931,0.122159090909091,1.45694796352548,1,1
