YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
229,72,1.333333333,1.30005417,1.421052632,1.235294118,0.121212121,1.30005417,1,1
230,73,1.191780822,1.506075974,1.5,0.857142857,0.108343711,1.506075974,1,1
231,76,1.434210526,1.683928156,1.454545455,1.40625,0.130382775,1.683928156,1,1
232,76,1.171052632,1.500116955,0.973684211,1.368421053,0.10645933,1.500116955,1,1
233,78,1.333333333,1.373843473,1.0625,1.766666667,0.121212121,1.373843473,1,1
234,78,1.397435897,1.531824679,1.666666667,1.128205128,0.127039627,1.531824679,1,1
235,72,1.347222222,1.662847737,1.25,1.46875,0.122474747,1.662847737,1,1
236,69,1.15942029,1.346271413,1.2,1.117647059,0.105401845,1.346271413,1,1
237,81,1.259259259,1.595131482,1.14,1.451612903,0.114478114,1.595131482,1,1
238,82,1.402439024,1.40422428,1.357142857,1.45,0.127494457,1.40422428,1,1
239,90,1.211111111,1.426037524,1.145833333,1.285714286,0.11010101,1.426037524,1,1
240,79,1.772151899,1.960830326,1.545454545,2.057142857,0.161104718,1.960830326,1,1
241,79,1.481012658,1.647537086,1.435897436,1.525,0.134637514,1.647537086,1,1
242,75,0.813333333,1.074185214,0.942857143,0.7,0.073939394,1.074185214,1,1
243,89,1.528089888,1.567350744,1.525,1.530612245,0.138917263,1.567350744,1,1
244,83,1.373493976,1.757984179,1.275,1.465116279,0.124863089,1.757984179,1,1
245,86,1.406976744,1.611560493,1.777777778,1,0.127906977,1.611560493,1,1
246,93,1.419354839,1.51314947,1.434782609,1.404255319,0.129032258,1.51314947,1,1
247,107,1.14953271,1.522186476,1.25,1.054545455,0.104502974,1.522186476,1,1
248,108,0.694444444,1.027275985,0.806451613,0.543478261,0.063131313,1.027275985,1,1
249,110,0,0,0,0,0,0,1,1
250,113,0,0,0,0,0,0,1,1
-1,49,0.775510204,1.295268732,0.875,0.68,0.06462585,1.295268732,1,1
0,453,0.737306843,1.13252353,0.769585253,0.707627119,0.061442237,1.13252353,1,1
1,5,1.2,1.643167673,1.25,1,0.1,1.643167673,1,1
2,47,1.106382979,1.289321401,1.227272727,1,0.092198582,1.289321401,1,1
3,69,1.188405797,1.468045543,1.205128205,1.166666667,0.099033816,1.468045543,1,1
4,80,1.325,1.667067462,1.210526316,1.428571429,0.110416667,1.667067462,1,1
5,89,1.314606742,1.606771931,1.4,1.244897959,0.109550562,1.606771931,1,1
6,95,1.263157895,1.452880677,1.270833333,1.255319149,0.105263158,1.452880677,1,1
7,94,1.180851064,1.343745095,1.166666667,1.195652174,0.098404255,1.343745095,1,1
8,89,1.292134831,1.38336092,1.212765957,1.380952381,0.107677903,1.38336092,1,1
9,76,1.236842105,1.27403214,1.12195122,1.371428571,0.103070175,1.27403214,1,1
10,96,1.364583333,1.699038686,1.444444444,1.294117647,0.113715278,1.699038686,1,1
11,82,1.414634146,1.456795227,1.369565217,1.472222222,0.117886179,1.456795227,1,1
12,96,1.260416667,1.385980874,1.333333333,1.177777778,0.105034722,1.385980874,1,1
13,83,1.325301205,1.585824658,1.162162162,1.456521739,0.110441767,1.585824658,1,1
14,91,1.318681319,1.459673638,1.345454545,1.277777778,0.10989011,1.459673638,1,1
15,82,1.243902439,1.365907428,1.243243243,1.244444444,0.103658537,1.365907428,1,1
16,84,1.107142857,1.212563322,1.108695652,1.105263158,0.092261905,1.212563322,1,1
17,90,1.3,1.385721732,1.363636364,1.239130435,0.108333333,1.385721732,1,1
18,88,1.511363636,1.58291393,1.688888889,1.325581395,0.12594697,1.58291393,1,1
19,96,1.15625,1.225416148,1.380952381,0.981481481,0.096354167,1.225416148,1,1
20,81,1.296296296,1.426923653,1.365853659,1.225,0.108024691,1.426923653,1,1
21,85,1.152941176,1.322928591,1.475,0.866666667,0.096078431,1.322928591,1,1
22,81,1.395061728,1.33864682,1.242424242,1.5,0.116255144,1.33864682,1,1
23,92,1.239130435,1.393624141,1.425,1.096153846,0.10326087,1.393624141,1,1
24,102,1.31372549,1.541379042,1.4375,1.203703704,0.109477124,1.541379042,1,1
25,92,1.434782609,1.793176001,1.794871795,1.169811321,0.119565217,1.793176001,1,1
26,89,1.08988764,1.239872147,1.363636364,0.822222222,0.09082397,1.239872147,1,1
27,93,1.290322581,1.315299975,1.292682927,1.288461538,0.107526882,1.315299975,1,1
28,83,1.072289157,1.266675431,1.179487179,0.977272727,0.08935743,1.266675431,1,1
29,87,1.195402299,1.42109588,1.333333333,1.025641026,0.099616858,1.42109588,1,1
30,92,1.413043478,1.512963571,1.708333333,1.090909091,0.117753623,1.512963571,1,1
31,97,1.237113402,1.427214623,1.085106383,1.38,0.103092784,1.427214623,1,1
32,84,1.142857143,1.31847719,1.27027027,1.042553191,0.095238095,1.31847719,1,1
33,88,1.420454545,1.638064395,1.585365854,1.276595745,0.118371212,1.638064395,1,1
34,88,1.568181818,1.811809628,1.815789474,1.38,0.130681818,1.811809628,1,1
35,88,1.238636364,1.538728526,1.256410256,1.224489796,0.103219697,1.538728526,1,1
36,87,1.137931034,1.448113559,1,1.279069767,0.094827586,1.448113559,1,1
37,92,1.27173913,1.569652169,1.23255814,1.306122449,0.105978261,1.569652169,1,1
38,87,1.413793103,1.490682099,1.288888889,1.547619048,0.117816092,1.490682099,1,1
39,92,0.967391304,1.417714357,1.035714286,0.861111111,0.080615942,1.417714357,1,1
40,90,1.177777778,1.503387768,1.340909091,1.02173913,0.098148148,1.503387768,1,1
41,80,1.6125,1.803609251,1.790697674,1.405405405,0.134375,1.803609251,1,1
42,87,1.390804598,1.673016506,1.238095238,1.533333333,0.115900383,1.673016506,1,1
43,83,1.43373494,1.719279281,1.428571429,1.43902439,0.119477912,1.719279281,1,1
44,90,1.133333333,1.153402392,1,1.244897959,0.094444444,1.153402392,1,1
45,93,1.387096774,1.615362781,1.4,1.375,0.115591398,1.615362781,1,1
46,87,1.379310345,1.503804318,1.487804878,1.282608696,0.114942529,1.503804318,1,1
47,87,1.183908046,1.402064389,1.23255814,1.136363636,0.098659004,1.402064389,1,1
48,83,1.096385542,1.708047365,1.073170732,1.119047619,0.091365462,1.708047365,1,1
49,90,1.088888889,1.387297465,1.108108108,1.075471698,0.090740741,1.387297465,1,1
50,95,1.536842105,1.693608299,1.68,1.377777778,0.128070175,1.693608299,1,1
51,95,1.305263158,1.488063744,1.558139535,1.096153846,0.10877193,1.488063744,1,1
52,87,1.356321839,1.493995824,1.378378378,1.34,0.11302682,1.493995824,1,1
53,97,1.453608247,1.620317732,1.446808511,1.46,0.121134021,1.620317732,1,1
54,91,1.483516484,1.558935801,1.590909091,1.382978723,0.123626374,1.558935801,1,1
55,91,1.153846154,1.405726992,1.173076923,1.128205128,0.096153846,1.405726992,1,1
56,85,1.364705882,1.696263813,1.29787234,1.447368421,0.11372549,1.696263813,1,1
57,85,1.364705882,1.557218665,1.081632653,1.75,0.11372549,1.557218665,1,1
58,92,1.27173913,1.498007914,1.38,1.142857143,0.105978261,1.498007914,1,1
59,94,1.393617021,1.438473542,1.255319149,1.531914894,0.116134752,1.438473542,1,1
